Date,NAV
2022-01-06,101017.85714285713
2022-01-07,101035.89604591834
2022-01-08,101053.93817021225
2022-01-09,101071.98351631407
2022-01-10,101090.03208479911
2022-01-11,101108.08387624282
2022-01-12,101126.1388912207
2022-01-13,101144.19713030841
2022-01-14,101162.25859408168
2022-01-15,101180.32328311633
2022-01-16,101198.39119798831
2022-01-17,101216.46233927365
2022-01-18,101234.53670754851
2022-01-19,101252.61430338914
2022-01-20,101270.69512737189
2022-01-21,101288.7791800732
2022-01-22,101306.86646206962
2022-01-23,101324.95697393783
2022-01-24,101343.0507162546
2022-01-25,101361.14768959678
2022-01-26,101379.24789454135
2022-01-27,101397.35133166537
2022-01-28,101415.45800154602
2022-01-29,101433.56790476058
2022-01-30,101451.68104188642
2022-01-31,101469.79741350103
2022-02-01,102487.91702018201
2022-02-02,102506.2184339356
2022-02-03,102524.5231157988
2022-02-04,102542.83106635518
2022-02-05,102561.14228618845
2022-02-06,102579.4567758824
2022-02-07,102597.77453602094
2022-02-08,102616.09556718808
2022-02-09,102634.41986996793
2022-02-10,102652.7474449447
2022-02-11,102671.07829270272
2022-02-12,102689.4124138264
2022-02-13,102707.74980890029
2022-02-14,102726.09047850901
2022-02-15,102744.43442323731
2022-02-16,102762.78164367002
2022-02-17,102781.1321403921
2022-02-18,102799.4859139886
2022-02-19,102817.84296504466
2022-02-20,102836.20329414555
2022-02-21,102854.56690187665
2022-02-22,102872.9337888234
2022-02-23,102891.30395557139
2022-02-24,102909.67740270631
2022-02-25,102928.05413081392
2022-02-26,102946.43414048014
2022-02-27,102964.81743229093
2022-02-28,102983.20400683241
2022-03-01,104045.88931918648
2022-03-02,104041.57144214839
2022-03-03,103943.97407327051
2022-03-04,103954.31406927913
2022-03-05,103972.87733964864
2022-03-06,103991.44392488785
2022-03-07,104010.01382558871
2022-03-08,104028.58704234328
2022-03-09,104047.16357574369
2022-03-10,104065.7434263822
2022-03-11,104084.3265948512
2022-03-12,104102.91308174313
2022-03-13,104121.50288765058
2022-03-14,104140.09601316623
2022-03-15,104158.69245888286
2022-03-16,104177.29222539336
2022-03-17,104264.42215575151
2022-03-18,104543.0125481705
2022-03-19,104562.45716004782
2022-03-20,104408.48108960137
2022-03-21,104501.13853661164
2022-03-22,104669.07354460924
2022-03-23,104802.57468837488
2022-03-24,104974.19665597059
2022-03-25,104989.05077608353
2022-03-26,105079.70443208846
2022-03-27,105394.14346439148
2022-03-28,105501.90205324253
2022-03-29,105650.25656639169
2022-03-30,105634.24802002659
2022-03-31,105444.87202017874
2022-04-01,106798.34829397348
2022-04-02,106807.20160480862
2022-04-03,106980.59228089388
2022-04-04,106995.25323295436
2022-04-05,106794.20448109026
2022-04-06,106331.85520555814
2022-04-07,106332.44393888995
2022-04-08,106351.4318753076
2022-04-09,106370.42320242818
2022-04-10,106389.41792085717
2022-04-11,106408.41603120018
2022-04-12,106479.44899534887
2022-04-13,106482.44514764522
2022-04-14,106447.81834955345
2022-04-15,106464.931253444
2022-04-16,106482.04721321024
2022-04-17,106499.16622939787
2022-04-18,106643.28000940083
2022-04-19,106556.92981353062
2022-04-20,106588.16864373704
2022-04-21,106586.48638017432
2022-04-22,106471.92611039426
2022-04-23,106489.0634765752
2022-04-24,106506.20390300012
2022-04-25,106438.68455795533
2022-04-26,106403.1691354187
2022-04-27,106322.13170783444
2022-04-28,106358.7535530391
2022-04-29,106213.21555982927
2022-04-30,106228.94797052963
2022-05-01,107244.68319058903
2022-05-02,107291.21635323134
2022-05-03,107203.80816452228
2022-05-04,107193.04860831275
2022-05-05,107283.83491831282
2022-05-06,107144.0452531733
2022-05-07,107161.80856822863
2022-05-08,107179.5750553045
2022-05-09,107174.08884820138
2022-05-10,107199.40930047976
2022-05-11,107198.81428145398
2022-05-12,107170.07359473796
2022-05-13,107170.44104045622
2022-05-14,107188.22657155398
2022-05-15,107206.01527863945
2022-05-16,107256.29216968502
2022-05-17,107315.22904014932
2022-05-18,107432.00336021085
2022-05-19,107363.8541990644
2022-05-20,107453.80891962418
2022-05-21,107471.61669454932
2022-05-22,107489.42764943426
2022-05-23,107533.24324885615
2022-05-24,107590.44099272489
2022-05-25,107593.008008555
2022-05-26,107637.59479184775
2022-05-27,107674.79760026197
2022-05-28,107692.62764683415
2022-05-29,107710.46087734323
2022-05-30,107735.11728788025
2022-05-31,107723.87542039732
2022-06-01,108764.9054258629
2022-06-02,108729.9140435661
2022-06-03,108730.01186279264
2022-06-04,108746.6013514414
2022-06-05,108763.19380249883
2022-06-06,108732.97356710373
2022-06-07,108773.05615410315
2022-06-08,109038.78529520209
2022-06-09,108919.3504775485
2022-06-10,108827.3348459582
2022-06-11,108842.00902184106
2022-06-12,108856.68581811247
2022-06-13,108904.73981002082
2022-06-14,108793.35034817184
2022-06-15,108515.57551162454
2022-06-16,108730.43052626436
2022-06-17,108409.52752887223
2022-06-18,108397.03925936375
2022-06-19,108413.55625751821
2022-06-20,108308.242672088
2022-06-21,108362.2898315293
2022-06-22,108397.30597613883
2022-06-23,108428.64350841529
2022-06-24,108416.94860343571
2022-06-25,108433.48330627613
2022-06-26,108450.02096174206
2022-06-27,108515.95720346223
2022-06-28,108534.6823509537
2022-06-29,108458.29470400888
2022-06-30,108378.77615287999
2022-07-01,109437.63867302545
2022-07-02,109454.37262674863
2022-07-03,109471.10956867784
2022-07-04,109417.63060045429
2022-07-05,109441.0540194733
2022-07-06,109218.16348858789
2022-07-07,109163.16491579595
2022-07-08,109231.9993551412
2022-07-09,109248.75423751566
2022-07-10,109265.51211183339
2022-07-11,109272.28270622592
2022-07-12,109124.6515158651
2022-07-13,109115.7778619975
2022-07-14,109123.57987782043
2022-07-15,109119.8668458138
2022-07-16,109136.64268301435
2022-07-17,109153.4215159001
2022-07-18,109255.5993376427
2022-07-19,109347.73078811663
2022-07-20,109466.06393678574
2022-07-21,109425.23317036708
2022-07-22,109487.08849001589
2022-07-23,109503.8853082501
2022-07-24,109520.68512591615
2022-07-25,109515.49197425412
2022-07-26,109593.91372831243
2022-07-27,109524.87065954665
2022-07-28,109682.2451973772
2022-07-29,109692.24033883246
2022-07-30,109709.05816434068
2022-07-31,109725.87899303202
2022-08-01,110751.36979486131
2022-08-02,110863.68649214768
2022-08-03,110729.20672886731
2022-08-04,110744.82205574578
2022-08-05,110686.73897534683
2022-08-06,110672.08615564814
2022-08-07,110689.07287346532
2022-08-08,110584.5878513372
2022-08-09,110312.41980725722
2022-08-10,110325.85740967533
2022-08-11,110479.83097750589
2022-08-12,110896.45936134522
2022-08-13,111051.97660350788
2022-08-14,110795.74800306381
2022-08-15,110372.3899558365
2022-08-16,110049.36199801671
2022-08-17,109825.79793656846
2022-08-18,109785.28905087663
2022-08-19,109661.89355402775
2022-08-20,109678.74690922211
2022-08-21,109695.6032739442
2022-08-22,109598.63622401352
2022-08-23,109508.70215199352
2022-08-24,109588.11249102184
2022-08-25,109581.24201817835
2022-08-26,109619.82656955309
2022-08-27,109636.70100273054
2022-08-28,109653.57844919963
2022-08-29,109564.68192254186
2022-08-30,109657.76176798905
2022-08-31,109644.35832388049
2022-09-01,110634.17419701531
2022-09-02,110552.7631266708
2022-09-03,110569.83726750927
2022-09-04,110586.91445730145
2022-09-05,110524.36930940003
2022-09-06,110631.85516421241
2022-09-07,110572.68131448043
2022-09-08,110671.05942637922
2022-09-09,110702.00550710212
2022-09-10,110719.1010020536
2022-09-11,110736.19954977205
2022-09-12,110860.35361278437
2022-09-13,110966.52451763886
2022-09-14,110754.51393638582
2022-09-15,110797.2415014691
2022-09-16,110760.45750084783
2022-09-17,110777.57437661929
2022-09-18,110794.69430897571
2022-09-19,110826.30092536502
2022-09-20,110855.32927407883
2022-09-21,110787.67243703017
2022-09-22,110618.08119457272
2022-09-23,110648.79190321306
2022-09-24,110665.93018654485
2022-09-25,110683.07153028437
2022-09-26,110292.22813038647
2022-09-27,110242.43457126436
2022-09-28,110209.98793725978
2022-09-29,110381.8843451405
2022-09-30,110700.68902022013
2022-10-01,111717.84873788603
2022-10-02,111735.19009121579
2022-10-03,111705.83013656367
2022-10-04,111874.00881256296
2022-10-05,112082.98681510497
2022-10-06,111983.539020801
2022-10-07,111785.7375479502
2022-10-08,111773.03634151236
2022-10-09,111788.65062226588
2022-10-10,111535.03388479292
2022-10-11,111269.54329659692
2022-10-12,111184.68415158737
2022-10-13,111293.52837431786
2022-10-14,111467.71747955166
2022-10-15,111485.01018191988
2022-10-16,111502.30597227065
2022-10-17,111473.20291551843
2022-10-18,111642.20427682072
2022-10-19,111667.17201255065
2022-10-20,111525.72730880111
2022-10-21,111559.21422904832
2022-10-22,111576.52855887786
2022-10-23,111593.84598055203
2022-10-24,111751.02081407615
2022-10-25,111766.06183613076
2022-10-26,111939.54616429399
2022-10-27,112166.16247285294
2022-10-28,112041.77964316847
2022-10-29,112059.11562750817
2022-10-30,112076.45470755937
2022-10-31,112102.34998869273
2022-11-01,112986.76507930884
2022-11-02,113010.97279867083
2022-11-03,112913.66944369941
2022-11-04,112748.38849494205
2022-11-05,112765.92482798347
2022-11-06,112783.46429251294
2022-11-07,113040.45256452233
2022-11-08,113087.81946171567
2022-11-09,113254.14427383654
2022-11-10,113127.46961063232
2022-11-11,113266.96082371847
2022-11-12,113160.1396382596
2022-11-13,113167.61187508781
2022-11-14,113307.41774213866
2022-11-15,113258.94640122143
2022-11-16,113160.03686209522
2022-11-17,113061.84578332858
2022-11-18,113068.9820802963
2022-11-19,113077.89982361227
2022-11-20,113086.81915938243
2022-11-21,113005.82623567629
2022-11-22,113300.26046320252
2022-11-23,113299.38229570819
2022-11-24,113103.5687326176
2022-11-25,113116.12112921962
2022-11-26,113125.05002568824
2022-11-27,113133.98051660263
2022-11-28,112956.28809136328
2022-11-29,112930.08810491211
2022-11-30,113163.19064187689
2022-12-01,114531.7204662697
2022-12-02,114460.26999880039
2022-12-03,114465.30000077054
2022-12-04,114470.33090095533
2022-12-05,113320.66667223624
2022-12-06,113873.78690411679
2022-12-07,114624.68064082766
2022-12-08,114877.96496023757
2022-12-09,115347.82733246632
2022-12-10,115352.86362530824
2022-12-11,115357.90081748815
2022-12-12,115221.37319588028
2022-12-13,116182.94600224432
2022-12-14,115866.89079073415
2022-12-15,114748.24773301448
2022-12-16,115356.27254688115
2022-12-17,115361.31513846264
2022-12-18,115366.35863050692
2022-12-19,114931.70229547357
2022-12-20,116546.48710792589
2022-12-21,115725.21741141517
2022-12-22,114943.1461486644
2022-12-23,115079.50510262848
2022-12-24,115084.5540008272
2022-12-25,115089.60380061486
2022-12-26,114966.73542702108
2022-12-27,115481.91096557313
2022-12-28,114964.19186631741
2022-12-29,115532.12810349892
2022-12-30,115614.54124111868
2022-12-31,115619.59645382212
2023-01-01,116624.65256924208
2023-01-02,116413.63688843578
2023-01-03,116614.88198566725
2023-01-04,116618.6299696869
2023-01-05,115940.2711037423
2023-01-06,116296.68112877858
2023-01-07,116306.0658543315
