,strategy,benchmark
2022-06-09,22000.0,22000.000000000004
2022-06-10,22006.722222222223,21494.577955499208
2022-06-13,22026.895050925927,21227.206767079046
2022-06-14,22033.625491080376,21228.010465677664
2022-06-15,22040.357987758205,21516.042601841174
2022-06-16,22047.092541587797,20937.49577364004
2022-06-17,22053.829153197727,21188.885141467566
2022-06-20,22074.045163254825,21183.24483885502
2022-06-21,22080.790010388042,21319.13671387367
2022-06-22,22087.53691844677,21112.892856038736
2022-06-23,22094.285888060742,21026.684363690176
2022-06-24,22101.03691985987,21485.76012548143
2022-06-27,22121.296203703077,21608.47587725281
2022-06-28,22128.05548865421,21430.7327994336
2022-06-29,22134.81683894241,21390.326087137804
2022-06-30,22141.580255198754,21097.743580016497
2022-07-01,24148.345738054508,23119.216628179496
2022-07-04,24170.481721647724,23303.29603414288
2022-07-05,24177.867146618228,23250.2876523474
2022-07-06,24185.25482824636,23561.081573018335
2022-07-07,24192.64476722166,23786.439142012383
2022-07-08,24200.036964233866,23812.60579966146
2022-07-11,24222.22033145108,23591.606638857033
2022-07-12,24229.621565441248,23556.6515982594
2022-07-13,24237.02506091958,23590.99436158709
2022-07-14,24244.430818577082,23451.037957488785
2022-07-15,24251.83883910498,23703.31453832577
2022-07-18,24274.06969137416,23641.71822243692
2022-07-19,24281.486768224302,23825.97605041015
2022-07-20,24288.90611140348,23885.68059757833
2022-07-21,24296.327721604186,24019.341849560482
2022-07-22,24303.75159951912,23981.989690077255
2022-07-25,24326.030038485347,23883.863581690173
2022-07-26,24333.462992108216,23601.158874632656
2022-07-27,24340.89821691136,23972.482950310332
2022-07-28,24348.33571358875,24421.64528211982
2022-07-29,24355.775482834568,24536.136477042874
2022-08-01,26378.1016103605,26433.37948072881
2022-08-02,26386.161585852555,26328.271980170688
2022-08-03,26394.224024114897,26629.768332974923
2022-08-04,26402.288925900044,26539.91095694397
2022-08-05,26410.356291960736,26353.42482856626
2022-08-08,26434.565785228366,26468.04329820857
2022-08-09,26442.643013662742,26256.623006973776
2022-08-10,26450.72271013914,26606.726399993597
2022-08-11,26458.804875411683,26645.216079980924
2022-08-12,26466.889510234723,26912.464389377074
2022-08-15,26491.150825619105,26833.44447451465
2022-08-16,26499.245343926934,26837.44306811731
2022-08-17,26507.3423355598,26762.603631945964
2022-08-18,26515.441801273442,26849.631019444274
2022-08-19,26523.543741823833,26711.29904221246
2022-08-22,26547.856990253837,26332.989039251544
2022-08-23,26555.968835445303,26391.500750205076
2022-08-24,26564.083159256134,26228.612326236787
2022-08-25,26572.199962443683,26430.726082503326
2022-08-26,26580.319245765542,25971.034534779796
2022-08-29,26604.684538407495,25532.996901193455
2022-08-30,26612.813747572007,25246.234643737538
2022-08-31,26620.945440661544,24901.499819887762
2022-09-01,28629.07961843508,27023.514663272985
2022-09-02,28637.827392762934,27120.826301671026
2022-09-05,28664.078734539635,27259.93068476629
2022-09-06,28672.837203041854,27076.727110032483
2022-09-07,28681.598347742784,27246.935790015672
2022-09-08,28690.36216946015,27300.873273748595
2022-09-09,28699.12866901193,27769.625710120057
2022-09-12,28725.43620362519,28340.201692784798
2022-09-13,28734.213420242966,27690.63893957906
2022-09-14,28742.99331878804,27721.422148619895
2022-09-15,28751.775900079894,27605.037234346724
2022-09-16,28760.56116493825,27613.156760438054
2022-09-19,28786.92501267278,27677.471269453963
2022-09-20,28795.721017537762,27565.81543797461
2022-09-21,28804.519710070897,27452.104207066026
2022-09-22,28813.321091093418,27091.954400724833
2022-09-23,28822.125161426808,26517.816531031633
2022-09-26,28848.545442824783,26305.736202566764
2022-09-27,28857.360276154533,26486.436278244335
2022-09-28,28866.177802905582,26745.44427459751
2022-09-29,28874.998023900913,26453.89998454562
2022-09-30,28883.82093996377,26255.095701767183
2022-10-03,30910.297775825406,28734.185265075208
2022-10-04,30919.742589034686,29297.576004917537
2022-10-05,30929.190288159112,29180.572289126543
2022-10-06,30938.640874080495,29443.965349521815
2022-10-07,30948.094347680908,29042.64223342271
2022-10-10,30976.463434166282,28747.188274947475
2022-10-11,30985.928464660054,28768.99079661776
2022-10-12,30995.396387246477,28809.07425794868
