,strategy,benchmark
2022-06-09,22000.0,22000.000000000004
2022-06-10,22006.722222222223,21494.578431174512
2022-06-13,22026.895050925927,21227.206038907363
2022-06-14,22033.625491080376,21228.011048458688
2022-06-15,22040.357987758205,21516.043297014
2022-06-16,22047.092541587797,20937.4964998135
2022-06-17,22053.829153197727,21188.885276397596
2022-06-20,22074.045163254825,21183.24436966919
2022-06-21,22080.790010388042,21319.137601518556
2022-06-22,22087.53691844677,21112.89315418321
2022-06-23,22094.285888060742,21026.68419434392
2022-06-24,22101.03691985987,21485.760952646426
2022-06-27,22121.296203703077,21608.47625980168
2022-06-28,22128.05548865421,21430.73333846101
2022-06-29,22134.81683894241,21390.326976024066
2022-06-30,22141.580255198754,21097.744024463398
2022-07-01,24148.345738054508,23119.217007718828
2022-07-04,24170.481721647724,23303.296469575744
2022-07-05,24177.867146618228,23250.2877891155
2022-07-06,24185.25482824636,23561.082106185935
2022-07-07,24192.64476722166,23786.439359484455
2022-07-08,24200.036964233866,23812.605760747538
2022-07-11,24222.22033145108,23591.60740133685
2022-07-12,24229.621565441248,23556.65156197433
2022-07-13,24237.02506091958,23590.995291301162
2022-07-14,24244.430818577082,23451.037592755
2022-07-15,24251.83883910498,23703.315060452638
2022-07-18,24274.06969137416,23641.719100568396
2022-07-19,24281.486768224302,23825.97707866131
2022-07-20,24288.90611140348,23885.681215034354
2022-07-21,24296.327721604186,24019.34211950837
2022-07-22,24303.75159951912,23981.98970862779
2022-07-25,24326.030038485347,23883.86432166229
2022-07-26,24333.462992108216,23601.158757844358
2022-07-27,24340.89821691136,23972.483792371644
2022-07-28,24348.33571358875,24421.644799056798
2022-07-29,24355.775482834568,24536.137104198864
2022-08-01,26378.1016103605,26433.379629134215
2022-08-02,26386.161585852555,26328.27424721677
2022-08-03,26394.224024114897,26629.769691725884
2022-08-04,26402.288925900044,26539.910819096316
2022-08-05,26410.356291960736,26353.424338719444
2022-08-08,26434.565785228366,26468.04381570999
2022-08-09,26442.643013662742,26256.623286959617
2022-08-10,26450.72271013914,26606.727277378595
2022-08-11,26458.804875411683,26645.216845143706
2022-08-12,26466.889510234723,26912.465389943452
2022-08-15,26491.150825619105,26833.445820747096
2022-08-16,26499.245343926934,26837.44338460314
2022-08-17,26507.3423355598,26762.603883576783
2022-08-18,26515.441801273442,26849.631685113
2022-08-19,26523.543741823833,26711.300056968666
2022-08-22,26547.856990253837,26332.9887629362
2022-08-23,26555.968835445303,26391.500824773233
2022-08-24,26564.083159256134,26228.612278447305
2022-08-25,26572.199962443683,26430.725879253627
2022-08-26,26580.319245765542,25971.03364859662
2022-08-29,26604.684538407495,25532.99750749071
2022-08-30,26612.813747572007,25246.23577266911
2022-08-31,26620.945440661544,24901.499991897104
2022-09-01,28629.07961843508,27023.515680097516
2022-09-02,28637.827392762934,27120.827149623285
2022-09-05,28664.078734539635,27259.930637480742
2022-09-06,28672.837203041854,27076.727760153357
2022-09-07,28681.598347742784,27246.93597301652
2022-09-08,28690.36216946015,27300.873985600778
2022-09-09,28699.12866901193,27769.625113084006
2022-09-12,28725.43620362519,28340.203186116432
2022-09-13,28734.213420242966,27690.638823216494
2022-09-14,28742.99331878804,27721.423011269304
2022-09-15,28751.775900079894,27605.037827752905
2022-09-16,28760.56116493825,27613.15753189464
2022-09-19,28786.92501267278,27677.471445012612
2022-09-20,28795.721017537762,27565.815965644746
2022-09-21,28804.519710070897,27452.104840009564
2022-09-22,28813.321091093418,27091.955582102197
2022-09-23,28822.125161426808,26517.816965374088
2022-09-26,28848.545442824783,26305.737118043595
2022-09-27,28857.360276154533,26486.435943887212
2022-09-28,28866.177802905582,26745.444824180937
2022-09-29,28874.998023900913,26453.900048436062
