,strategy,benchmark
2021-06-21,22000.0,22000.000000000004
2021-06-22,22006.722222222223,21920.039841471473
2021-06-23,22013.44649845679,21944.038812095143
2021-06-24,22020.172829331317,22075.177962468737
2021-06-25,22026.901215473612,21957.219159621916
2021-06-28,22047.092541587797,21909.12502085383
2021-06-29,22053.829153197727,21898.271198204842
2021-06-30,22060.56782321676,21976.70410451819
2021-07-01,24067.308552273855,24088.399906221537
2021-07-02,24074.66245210927,24141.71409076931
2021-07-05,24096.73089269037,24184.078787032122
2021-07-06,24104.09378268536,24082.538714203565
2021-07-07,24111.45892245229,24258.71768666608
2021-07-08,24118.826312678593,24102.248969665154
2021-07-09,24126.195954051913,24123.91335910025
2021-07-12,24148.31163367646,24088.997633991203
2021-07-13,24155.69028445342,23853.959652311587
2021-07-14,24163.071189818114,23866.71206965288
2021-07-15,24170.454350459448,24032.674179442383
2021-07-16,24177.839767066533,23872.266856668437
2021-07-19,24200.00278685301,23445.31694578679
2021-07-20,24207.397232148993,23545.61037641536
2021-07-21,24214.793936858816,23892.34607642424
2021-07-22,24222.192901672857,24047.54939977249
2021-07-23,24229.594127281704,24106.047999001235
2021-07-26,24251.804588565046,24314.552816537518
2021-07-27,24259.21486218933,24172.88909550162
2021-07-28,24266.627400063888,24310.963874185116
2021-07-29,24274.042202880573,24472.869170775222
2021-07-30,24281.459271331452,24100.860688351793
2021-08-02,26303.717275663505,26204.123284579866
2021-08-03,26311.754522608848,26468.09099237149
2021-08-04,26319.794225379646,26386.309743842667
2021-08-05,26327.83638472629,26360.490409597165
2021-08-06,26335.881001399404,26350.848206673767
2021-08-09,26360.022225650686,26309.44590816622
2021-08-10,26368.0766768863,26324.799692883007
2021-08-11,26376.133589204237,26385.543416284057
2021-08-12,26384.192963356494,26295.36497504492
2021-08-13,26392.2548000953,26432.62374194388
2021-08-16,26416.44770032872,26402.22613632841
2021-08-17,26424.5193926816,26369.706087570536
2021-08-18,26432.593551384918,26427.167897602307
2021-08-19,26440.670177192285,26190.165965909408
2021-08-20,26448.749270857537,26454.496227903783
2021-08-23,26472.993957689156,26911.91064721175
2021-08-24,26481.082928065116,26822.589204665725
2021-08-25,26489.174370070912,26944.514661661095
2021-08-26,26497.268284461767,26908.08092411894
2021-08-27,26505.36467199313,27120.99344818068
2021-08-30,26529.66125627579,27179.79845924057
2021-08-31,26537.767541659654,27413.59947648286
2021-09-01,28545.87630396405,29174.491563466785
2021-09-02,28554.59865505693,29110.833454040214
2021-09-03,28563.32367131264,29055.912304593086
2021-09-06,28589.506718011344,29138.575448843203
2021-09-07,28598.242400619623,29034.338517555392
2021-09-08,28606.980752464257,28861.87353993103
2021-09-09,28615.72177436084,28736.2247135946
2021-09-10,28624.46546712523,28720.870544990394
2021-09-13,28650.704560470094,28767.028040709127
2021-09-14,28659.458942419125,28910.728615167915
2021-09-15,28668.2159993182,29082.795335429706
2021-09-16,28676.975731984658,29058.35081775505
2021-09-17,28685.7381412361,28639.94244084581
2021-09-20,28712.0334011989,28253.335347009997
2021-09-21,28720.806522515933,28280.62082817409
2021-09-22,28729.582324508923,28538.65586768283
2021-09-23,28738.360807996967,28692.712791887745
2021-09-24,28747.14197379941,28575.373337462843
2021-09-27,28773.49352060873,28730.065400812702
2021-09-28,28782.285421406694,28394.41694041385
2021-09-29,28791.080008618792,28522.515135856847
2021-09-30,28799.87728306587,28683.25676002832
2021-10-01,30808.67724556903,30676.064999442282
2021-10-04,30836.918533044136,30410.736897645154
2021-10-05,30846.340924818123,30603.4916925171
2021-10-06,30855.766195656262,30785.948169812484
2021-10-07,30865.194346438268,30779.690330723653
2021-10-08,30874.625378044122,30969.0064095769
2021-10-11,30902.927117973995,31119.8451302875
2021-10-12,30912.36967903782,31183.070114021964
2021-10-13,30921.815125328638,31223.80440114932
2021-10-14,30931.263457728044,31402.74791156802
2021-10-15,30940.714677117907,31835.206501948902
2021-10-18,30969.076998905264,31872.64613151804
2021-10-19,30978.53977243271,31793.963052249575
2021-10-20,30988.005437363176,31726.359457870138
2021-10-21,30997.47399458015,31832.60692243151
2021-10-22,31006.94544496738,31533.2553110339
2021-10-25,31035.368478291934,31503.36222359387
2021-10-26,31044.85150754919,31748.602059913148
2021-10-27,31054.337434398716,31722.967476649024
2021-10-28,31063.826259725894,31675.150705034554
2021-10-29,31073.317984416368,31827.371619675752
2021-11-01,33101.80185923542,33987.398321528126
2021-11-02,33111.916298692406,34168.14629036813
2021-11-03,33122.03382867256,34291.01197091993
2021-11-04,33132.15445012021,34542.430952163384
2021-11-05,33142.278163979965,34581.05615612906
2021-11-08,33172.65858563028,34673.665709428395
2021-11-09,33182.79467575366,34758.90470452354
2021-11-10,33192.9338630157,34379.27174612668
2021-11-11,33203.076148362736,34490.19062983144
2021-11-12,33213.2215327414,34414.367754898296
2021-11-15,33243.666985813084,34352.06690305181
2021-11-16,33253.824772947635,34280.831909797394
2021-11-17,33263.98566385048,34348.918760669076
2021-11-18,33274.149659469986,34531.2784275382
2021-11-19,33284.316760754824,34513.49856857827
2021-11-22,33314.82738445218,34383.45362344364
2021-11-23,33325.00691504188,34605.64400641628
2021-11-24,33335.1895560437,34763.61762169474
2021-11-25,33345.375308408045,34614.87773101891
2021-11-26,33355.564173085615,34056.164475467274
2021-11-29,33386.14010691094,34554.434121824495
2021-11-30,33396.34142749917,34336.89104683311
2021-12-01,35406.54586515757,36238.363836977995
2021-12-02,35417.3645319497,36802.76127222552
2021-12-03,35428.18650444558,36444.53925834493
2021-12-06,35460.662342074655,36499.27161098593
2021-12-07,35471.49754445696,37090.41297854525
2021-12-08,35482.336057595545,36982.85530674373
2021-12-09,35493.17788250203,36910.0360753933
2021-12-10,35504.02302018835,37024.90086487303
2021-12-13,35536.56837462352,36479.566828436204
2021-12-14,35547.42677051577,36811.38827440133
2021-12-15,35558.28848425121,37179.98725203712
2021-12-16,35569.15351684362,36766.49786085247
2021-12-17,35580.0218693071,36939.7238050799
2021-12-20,35612.63688935396,36492.74857853129
2021-12-21,35623.51852840349,36865.50091993572
2021-12-22,35634.403492398276,37208.06042320265
2021-12-23,35645.29178235429,37410.215297450864
2021-12-24,35656.18339928779,37571.213216165415
2021-12-27,35688.86823407047,37966.65291992869
2021-12-28,35699.77316603088,37840.34644029295
2021-12-29,35710.68143005383,37520.6265478394
2021-12-30,35721.59302715746,37647.63158621185
2021-12-31,35732.507958360206,37623.062762448615
2022-01-03,37765.26275732204,39736.58931667546
2022-01-04,37776.802143164554,39647.03813783869
2022-01-05,37788.34505493052,39265.28780495337
2022-01-06,37799.8914936973,39253.94625883506
2022-01-07,37811.4414605426,39214.40779323345
2022-01-10,37846.101948548094,39080.277291933686
2022-01-11,37857.666035254595,39189.46977000824
2022-01-12,37869.233655432035,39721.54340227595
2022-01-13,37880.80481016009,39373.296847064164
2022-01-14,37892.37950051875,39390.68829706986
2022-01-17,37927.11418172756,39429.220566529264
2022-01-18,37938.703022171976,38790.158676105624
2022-01-19,37950.29540365098,38569.931916862115
2022-01-20,37961.891327246536,38454.06610455258
2022-01-21,37973.490794040976,37778.798750577924
2022-01-24,38008.29982726885,37368.75507319566
2022-01-25,38019.91347443829,37277.407826421935
2022-01-26,38031.53067022215,37337.54966449126
2022-01-27,38043.15141570472,37210.75508716274
2022-01-28,38054.77571197063,37746.54347441096
2022-01-31,38089.65925637327,38577.18652753598
2022-02-01,40101.297763368275,40733.41480848041
2022-02-02,40113.55093768486,40967.79400505303
2022-02-03,40125.80785602693,40204.85409061261
2022-02-04,40138.068519538494,40640.61228685841
2022-02-07,40174.86174901474,40627.05654501927
2022-02-08,40187.13740121583,41324.82979883829
2022-02-09,40199.41680431064,41816.44564376271
2022-02-10,40211.699959445294,41520.18117595924
2022-02-11,40223.98686776624,41410.44928778157
2022-02-14,40260.85885572836,41051.14618049238
