Date,NAV_USD,Cash_USD
2026-06-24,301039.31678000675,260316.28369677963
2026-06-25,300964.3530968226,245338.5411548998
2026-06-26,300609.9630515495,245338.52819111274
2026-06-29,300138.0357175231,245363.08878813888
2026-06-30,301153.85485608364,245363.28197389597
2026-07-01,303512.51277146186,248362.90127083956
2026-07-02,326003.7549249874,261983.0090761046
2026-07-03,348945.57127822895,284930.3616259172
2026-07-04,348779.7939001796,275162.96504497086
2026-07-05,348808.20392316545,275181.9298956236
2026-07-06,396077.4213210682,292924.6126902469
2026-07-07,395820.09101364564,302583.0600294686
2026-07-08,395006.2361912114,292764.76213094295
2026-07-09,396101.58108257194,283384.4856035977
2026-07-10,398388.423561947,273828.51617451396
2026-07-11,398080.1114132691,283653.10310906125
2026-07-13,403627.88926703914,279349.7573927705
2026-07-12,403598.55716564273,279335.2406494758
2026-07-13,403617.67554522626,279348.3895295971
2026-07-14,402700.9139529944,289642.48140543676
2026-07-15,404012.5069553186,303244.5968768027
2026-07-16,400716.3981571208,311582.3791186724
2026-07-17,399507.96303783567,300318.7357181958
2026-07-18,399493.99700965546,291385.08691374026
2026-07-19,399481.0828802617,300304.97899696155
2026-07-20,400758.4710286731,291803.41261778463
2026-07-21,402632.8853312466,291871.9958710551
2026-07-22,403859.669444542,291909.145686704
2026-07-23,403469.0022571582,300252.9673162474
2026-07-24,402271.5271568073,290747.44419976097
2026-07-25,402240.63139368896,299589.8721635397
2026-07-26,402542.19263841433,299813.62978590216
2026-07-27,481868.8216214313,380062.17023597425
2026-07-28,618393.4255644891,508572.13403831027
2026-07-29,738640.6059525594,630264.7744360243
2026-07-30,821096.5644835748,623615.6935749849
2026-07-31,820955.6842508361,632622.240120707
2026-08-01,824803.9220253525,627459.7948013045
2026-08-02,824903.3020545087,636457.1807230317
2026-08-03,944388.2613419091,756227.5264987232
2026-08-04,1080819.899437419,880661.2001800057
2026-08-05,460260.1989455226,272183.5860781221
2026-08-06,478682.786995848,299376.19115077157
2026-08-07,655852.0529757404,465156.1302678748
2026-08-08,675128.4396359993,475154.2394269237
2026-08-09,694327.94848671,503642.7970785425
2026-08-10,880429.8045961782,688221.1627097728
2026-08-11,901161.9417281331,709393.520747377
2026-08-12,922377.319847965,721042.8492896479
2026-08-13,1004672.7304388292,803414.6279342414
2026-08-14,1086070.2165266816,915566.3916799503
2026-08-17,1148903.8201816345,977700.8394177734
2026-08-18,1148285.5685361838,977544.3022162461
2026-08-19,1148498.5309676062,984217.7502536214
2026-08-20,1149281.958858486,993346.5125976697
2026-08-21,1149515.0433862584,993481.535334783
2026-08-24,1148877.8643403698,983354.6677397911
2026-08-31,1150295.4235673489,978702.5205146536
2026-09-01,1154936.0557826145,986863.3656686367
2026-09-02,1154419.778990272,986827.8021952442
2026-09-03,1154405.0965150604,976174.3696669785
2026-09-04,1154255.5189465028,966985.6511606827
2026-09-05,1154348.8786255484,976302.1213258334
2026-09-06,1154316.3791106893,967021.664799528
2026-09-07,1153207.9469582464,976060.2331330203
2026-09-08,1154223.8802230004,966923.7118114964
2026-09-09,1261688.0773783303,980668.8353218392
