date,nav,cash,equities,daily_ret
2022-06-21,201567.91554946665,39938.60310502219,161629.31244444445,
2022-06-22,199800.09780537884,39945.84752386319,159854.25028151565,-0.0087703330129143
2022-06-23,199158.42142564198,39953.09325676127,159205.32816888072,-0.0032115919200494947
2022-06-24,201789.7504782723,39960.340303954785,161829.4101743175,0.013212240957697796
2022-06-27,202508.4401116275,39967.58866568214,162540.8514459454,0.003561576500549668
2022-06-28,201501.71721597636,39974.83834218178,161526.87887379457,-0.0049712638895259564
2022-06-29,201976.48055783976,39982.08933369218,161994.39122414758,0.002356125537900766
2022-06-30,200416.21838118054,39989.34164045187,160426.87674072868,-0.007724969621957567
2022-07-01,205815.83018092223,41996.95804047721,163818.87214044502,0.02694199024088917
2022-07-04,205359.64219329378,42004.575822032886,163355.0663712609,-0.0022164863957618852
2022-07-05,204893.3465873375,42012.1949853695,162881.15160196798,-0.0022706292286844842
2022-07-06,205804.24037074234,42019.81553073767,163784.42484000468,0.004445697230176071
2022-07-07,207137.40068904235,42027.43745838811,165109.96323065425,0.006477807823096482
2022-07-08,206348.05613370816,42745.434814902124,163602.62131880602,-0.0038107292681497373
2022-07-11,205665.18307673722,42753.18836182827,162911.99471490894,-0.003309326338060914
2022-07-12,206377.80408432416,42760.94331516168,163616.86076916248,0.003464956960270049
2022-07-13,206651.52144279893,42768.69967515746,163882.82176764146,0.0013262926199317793
2022-07-14,204366.7888379388,42776.457442070765,161590.33139586804,-0.011055967983727322
2022-07-15,206883.72026884247,42784.21661615679,164099.50365268567,0.01231575563336551
2022-07-18,205056.76421098097,42791.97719767077,162264.7870133102,-0.00883083528992712
2022-07-19,207546.84978764557,42799.73918686801,164747.11060077755,0.012143396421210317
2022-07-20,205963.61788066546,42807.50258400385,163156.11529666162,-0.007628310950515527
2022-07-21,202308.4943663933,42815.26738933367,159493.22697705965,-0.017746452270953617
2022-07-22,201608.05086854368,42823.0336031129,158785.01726543077,-0.0034622545140446936
2022-07-25,203905.8006441939,42830.80122559702,161074.99941859688,0.01139711318943526
2022-07-26,204805.08186318583,42838.57025704155,161966.51160614428,0.004410277766257131
2022-07-27,207634.03418231074,42846.340697702064,164787.69348460867,0.01381290099537047
2022-07-28,208516.91541159377,42854.11254783418,165662.8028637596,0.004252102661107093
2022-07-29,210362.24900668793,42861.88580769355,167500.36319899437,0.008849802863482914
2022-08-01,212227.1589919098,44870.02325531367,167357.13573659613,0.008865231257166206
2022-08-02,210544.572312366,44878.16217897637,165666.41013338964,-0.007928234480149232
2022-08-03,211650.51640019607,44886.302578949384,166764.2138212467,0.005252778904170752
2022-08-04,207291.69291346543,44894.44445550051,162397.24845796492,-0.020594438231791634
2022-08-05,207010.49692085583,44902.58780889758,162107.90911195826,-0.0013565232096733881
2022-08-08,206520.7545884646,44910.732639408474,161610.02194905613,-0.0023657850190006435
2022-08-09,206692.00920078356,44918.87894730112,161773.13025348244,0.0008292368128337557
2022-08-10,206900.40846556926,44927.02673284351,161973.38173272574,0.0010082599012488647
2022-08-11,208103.76538220095,45374.16987135414,162729.59551084682,0.005816116679305372
2022-08-12,208694.75186641407,45382.40024161136,163312.35162480272,0.0028398644451614885
2022-08-15,208622.54131464212,45390.63210476629,163231.90920987583,-0.0003460103865868813
2022-08-16,208963.1892966052,45398.86546108974,163564.32383551548,0.0016328436026926685
2022-08-17,209652.08497124532,45407.10031085255,164244.98466039277,0.003296732199383978
2022-08-18,211324.0249181143,45415.3366543256,165908.6882637887,0.007974831002030225
2022-08-19,212113.71841431072,45423.574491779844,166690.14392253087,0.0037368846088485785
2022-08-22,210602.1881619234,45431.81382348627,165170.37433843713,-0.007126037220444692
2022-08-23,212290.54440541612,45440.05464971592,166850.4897557002,0.008016802950758573
2022-08-24,211192.58774800628,45448.29697073989,165744.2907772664,-0.0051719527145450694
2022-08-25,211802.3898034327,45456.540786829304,166345.8490166034,0.0028874216748271397
2022-08-26,209496.58843201236,45464.78609825536,164031.802333757,-0.010886569191028928
2022-08-29,211252.50790125492,45473.03290528929,165779.47499596563,0.008381613669152577
2022-08-30,208497.66002489868,45481.28120820239,163016.3788166963,-0.01304054519269393
2022-08-31,207631.05506427313,45489.531007265985,162141.52405700713,-0.00415642535519134
2022-09-01,209245.38260485415,47498.14508052925,161747.2375243249,0.007774981156269289
2022-09-02,208473.57708476947,47506.76071628969,160966.81636847978,-0.0036885187643169726
2022-09-05,207948.1148213476,47515.37791483073,160432.7369065169,-0.0025205221245289122
2022-09-06,207680.17501792542,47523.99667643584,160156.17834148958,-0.0012884935439418932
2022-09-07,208502.8061060589,47532.617001388535,160970.18910467037,0.003961047741136037
2022-09-08,207984.78793661107,47541.238889972396,160443.54904663868,-0.002484466176365663
2022-09-09,208920.86658545837,47549.862342471046,161371.0042429873,0.004500707278325411
2022-09-12,210952.92469010712,47558.48735916817,163394.43733093893,0.00972644876435802
2022-09-13,206734.9525078692,47567.11394034748,159167.8385675217,-0.019994850455067992
2022-09-14,209074.36914371172,47575.74208629277,161498.62705741895,0.011316018928891447
2022-09-15,206184.73629106482,47908.75505508641,158275.98123597843,-0.013821076512064656
2022-09-16,205728.8222731403,40829.1084996727,164899.7137734676,-0.002211191895800213
2022-09-19,208176.91801472052,40836.51444629778,167340.40356842274,0.011899624537440534
2022-09-20,207802.98427931697,40843.921736279284,166959.0625430377,-0.0017962305281947755
2022-09-21,206096.3918228048,40851.330369860894,165245.06145294392,-0.008212550278961617
2022-09-22,204907.6678238277,40858.740347286315,164048.9274765414,-0.005767805969156048
2022-09-23,199793.7437253518,40866.151668799306,158927.59205655247,-0.024957211961792902
2022-09-26,198936.1711412976,40873.56433464368,158062.6068066539,-0.004292289478458722
2022-09-27,199626.2624953664,40880.97834506327,158745.28415030314,0.0034689083946359833
2022-09-28,203290.34809482942,40888.39370030197,162401.95439452745,0.018354727247112956
2022-09-29,202069.30001717966,40895.81040060372,161173.48961657594,-0.006006424255224241
2022-09-30,202060.6969915735,40903.228446212495,161157.46854536099,-4.257462962176106e-05
2022-10-03,209179.4612985665,42911.0106151501,166268.4506834164,0.03523082129767108
2022-10-04,211952.20927201095,42918.794195686685,169033.41507632425,0.013255354785940865
2022-10-05,214544.26782671065,42926.57918807829,171617.68863863236,0.012229448155330003
2022-10-06,217474.09550042005,42934.365592581016,174539.72990783904,0.013656051981197015
2022-10-07,218617.0704192834,42942.153409451006,175674.9170098324,0.0052556830561052426
2022-10-10,217097.5038603255,42949.94263894444,174147.56122138107,-0.0069508138410397935
2022-10-11,217064.63373401348,42957.73328131756,174106.90045269593,-0.00015140720518447282
2022-10-12,217749.72425838903,42965.52533682664,174784.1989215624,0.0031561591245445886
2022-10-13,220200.0423410661,42973.31880572801,177226.72353533807,0.011252910151883455
2022-10-14,218365.23411863274,42981.113688278056,175384.1204303547,-0.008332460806667052
2022-10-17,222842.5320180671,42988.90998473318,179853.62203333393,0.020503712129385843
2022-10-18,222081.16375268673,42996.707695349854,179084.45605733688,-0.0034166200611948083
2022-10-19,222393.04663371778,43004.506820384595,179388.5398133332,0.0014043644033601144
2022-10-20,221932.5793637782,43012.30736009396,178920.27200368425,-0.0020705110924531533
2022-10-21,224744.58160020196,43020.10931473455,181724.4722854674,0.012670524735417521
2022-10-24,226053.1459971167,43027.91268456303,183025.23331255367,0.0058224513694506985
2022-10-25,227686.7189144985,43035.71746983609,184651.0014446624,0.007226499371093098
2022-10-26,227269.9733464926,43043.52367081048,184226.44967568212,-0.00183034640752322
2022-10-27,227398.8875204798,43051.33128774299,184347.5562327368,0.00056722923881658
2022-10-28,228378.80006321304,43059.14032089047,185319.65974232258,0.004309223116339966
2022-10-31,230349.17523856886,43066.950770509786,187282.22446805908,0.008627662352242993
2022-11-01,234693.46421308906,45075.12541463566,189618.3387984534,0.018859581198938047
2022-11-02,233535.17248836742,45083.30154155115,188451.87094681629,-0.0049353386495244456
2022-11-03,234323.04087211617,45091.479151525215,189231.56172059095,0.003373660487000052
2022-11-04,235684.06504852872,45099.65824482687,190584.40680370186,0.005808324146644006
2022-11-07,235149.38027491895,45107.83882172516,190041.5414531938,-0.0022686505067691654
2022-11-08,233305.9859097096,45116.02088248922,188189.96502722037,-0.007839248238945773
2022-11-09,230706.25582271614,45124.204427388184,185582.05139532796,-0.011143006369324637
2022-11-10,233307.60776327545,45132.389456691264,188175.21830658417,0.011275602090990988
2022-11-11,233799.8473204802,45140.57597066771,188659.2713498125,0.002109830716297223
2022-11-14,234284.6018307569,45591.36789020958,188693.23394054733,0.0020733739385732086
2022-11-15,235928.13066841522,45599.63765777411,190328.4930106411,0.007015095421617046
2022-11-16,237201.85560904758,45607.90892538259,191593.94668366498,0.005398783676298979
2022-11-17,236584.0860369472,45616.18169330711,190967.90434364008,-0.002604404466036603
2022-11-18,237600.5231335379,45624.45596181981,191976.06717171808,0.004296303752366448
2022-11-21,237237.7206903777,45632.731731192885,191604.98895918482,-0.0015269429476647556
2022-11-22,237547.09074349178,45641.00900169857,191906.0817417932,0.0013040508575692389
2022-11-23,237099.46545058425,45649.287773609154,191450.1776769751,-0.001884364449619258
2022-11-24,237908.7659222613,45657.568047196975,192251.1978750643,0.003413337394662763
2022-11-25,237081.95244097474,45665.849822734424,191416.10261824031,-0.0034753384478347638
2022-11-28,235558.32319592065,45674.133100493935,189884.19009542672,-0.006426593122618285
2022-11-29,233368.0500082376,45682.417880748,187685.6321274896,-0.009298220321687922
2022-11-30,238491.27324279354,45690.70416376914,192800.5690790244,0.021953404651472663
2022-12-01,240111.64854216136,47699.35472760774,192412.29381455362,0.006794275016168916
2022-12-02,237486.0338860476,47708.0068605625,189778.0270254851,-0.010934974092490668
2022-12-05,236394.90387165622,47716.66056291804,188678.24330873817,-0.004594501817799301
2022-12-06,239338.56167636166,50328.08169517779,189010.47998118386,0.012452289607324252
2022-12-07,238676.98718149826,50337.210649996385,188339.77653150188,-0.0027641784517699053
2022-12-08,239207.30552084808,50346.34126070595,188860.96426014212,0.0022219081345558056
2022-12-09,236898.152169734,50355.47352760685,186542.67864212717,-0.009653356305678651
2022-12-12,238405.75623347284,50364.6074509995,188041.14878247335,0.006363933403155775
2022-12-13,239379.0489290952,50373.743031184364,189005.30589791085,0.0040825050158150855
2022-12-14,238001.36152213268,3211.0332876425373,234790.32823449015,-0.0057552547439964075
2022-12-15,236840.68140823138,3211.615733402768,233629.0656748286,-0.004876779302766088
2022-12-16,238338.39428923922,3212.198284812188,235126.19600442704,0.006323714625809274
2022-12-19,240163.5632942823,3212.780941889961,236950.78235239233,0.007657889155819886
