Date,NAV
2021-06-21,100017.85714285713
2021-06-22,100035.71747448978
2021-06-23,100023.69204917108
2021-06-24,100044.05917274256
2021-06-25,100072.97342030972
2021-06-28,101620.48468493656
2021-06-29,101749.04755023646
2021-06-30,101065.19670483211
2021-07-01,102102.66734406842
2021-07-02,102396.36933973292
2021-07-06,102567.34370337614
2021-07-07,102567.80453107812
2021-07-08,102307.94964802655
2021-07-09,102748.71793161846
2021-07-12,102766.74933403096
2021-07-13,102581.7721388998
2021-07-14,102658.13888565551
2021-07-15,102520.34612600817
2021-07-16,101751.57876997475
2021-07-19,102072.1713011361
2021-07-20,102258.48172984918
2021-07-21,102168.00305261902
2021-07-22,102390.99698858021
2021-07-23,102894.12247366432
2021-07-26,103361.49494178318
2021-07-27,102498.91525307475
2021-07-28,103864.61210841006
2021-07-29,102743.256329937
2021-07-30,102668.53727923214
2021-08-02,103236.98191858012
2021-08-03,103943.24335145645
2021-08-04,103821.26710630461
2021-08-05,104788.2001134443
2021-08-06,104024.72641497682
2021-08-09,104300.8590549417
2021-08-10,104046.18762512237
2021-08-11,103729.53654268078
2021-08-12,103818.3127072816
2021-08-13,104035.6961523172
2021-08-16,104468.57268846047
2021-08-17,104437.03704265323
2021-08-18,103045.23319822724
2021-08-19,105131.57867634256
2021-08-20,106522.41777112063
2021-08-23,106633.70837741988
2021-08-24,106163.99648016854
2021-08-25,105719.84165299186
2021-08-26,105416.52035557789
2021-08-27,106683.69492548582
2021-08-30,107706.16206485424
2021-08-31,107749.74411180808
2021-09-01,109710.45676384722
2021-09-02,109660.29657866483
2021-09-03,109906.4628596179
2021-09-07,111098.70532444221
2021-09-08,110917.89298808426
2021-09-09,110369.61757136422
2021-09-10,110459.19804882373
2021-09-13,109858.06926888606
2021-09-14,109120.23336437394
2021-09-15,109042.00147901791
2021-09-16,109061.4732649963
2021-09-17,109080.94852807933
2021-09-20,109100.42726888791
2021-09-21,109119.90948804306
2021-09-22,109139.39518616592
2021-09-23,109158.88436387772
2021-09-24,109208.99022717864
2021-09-27,110073.04416338484
2021-09-28,108894.33424126403
2021-09-29,108871.52530134472
2021-09-30,108385.62448879008
2021-10-01,110157.77325169055
2021-10-04,109569.32302269855
2021-10-05,111939.76780411808
2021-10-06,112266.8870753578
2021-10-07,112105.42946334838
2021-10-08,112186.597269337
2021-10-11,111083.93892494187
2021-10-12,110025.29634136075
2021-10-13,109326.78079201943
2021-10-14,109559.09452290778
2021-10-15,109659.72973756856
2021-10-18,110547.22594983302
2021-10-19,111695.59297908806
2021-10-20,111510.2141971709
2021-10-21,112666.73031114902
2021-10-22,112604.37433994902
2021-10-25,113637.8461451489
2021-10-26,116653.17210924644
2021-10-27,115421.9454921046
2021-10-28,117451.25906530501
2021-10-29,117714.22214477143
2021-11-01,118579.70985834776
2021-11-02,120233.7585827662
2021-11-03,121238.40943643545
2021-11-04,125677.58159360712
2021-11-05,124636.50153170602
2021-11-08,124435.90489000236
2021-11-09,124454.59695087382
2021-11-10,123088.36342396622
2021-11-11,123571.93789795415
2021-11-12,124148.40652214906
2021-11-15,124346.44852429791
2021-11-16,124576.82050048886
2021-11-17,124654.24753741069
2021-11-18,125608.20230901963
2021-11-19,125620.31270266583
2021-11-22,123911.8158251278
2021-11-23,124014.69362562615
2021-11-24,124171.07671338775
2021-11-26,122811.31454980996
2021-11-29,123744.54898105586
2021-11-30,124715.22864115518
2021-12-01,125583.96385359124
2021-12-02,125327.9404136147
2021-12-03,124828.17262254498
2021-12-06,125774.92641102162
2021-12-07,127359.2085849284
2021-12-08,128418.46744795195
2021-12-09,127916.52128736934
2021-12-10,132709.68661309892
2021-12-13,130433.47297629564
2021-12-14,129071.25748732223
2021-12-15,132156.8373288694
2021-12-16,128392.09287912158
2021-12-17,129095.84365335328
2021-12-20,129632.59184015174
2021-12-21,130023.52265228807
2021-12-22,130672.83412682738
2021-12-23,131367.45250326316
2021-12-27,132250.01555668763
2021-12-28,131359.7840108477
2021-12-29,131605.20928402
2021-12-30,130658.96386236719
2021-12-31,130552.1421717688
2022-01-03,131375.76258644238
2022-01-04,131738.69114573626
2022-01-05,131744.77513038716
2022-01-06,131768.30098308902
2022-01-07,131791.831036836
2022-01-10,131815.3652923783
2022-01-11,131838.9037504662
2022-01-12,131862.44641185022
2022-01-13,131885.9932772809
2022-01-14,131909.54434750899
2022-01-18,131933.09962328532
2022-01-19,131956.6591053609
2022-01-20,131980.22279448682
2022-01-21,132003.7906914144
2022-01-24,132027.362796895
2022-01-25,132050.93911168014
2022-01-26,132074.5196365215
2022-01-27,132098.10437217087
2022-01-28,132121.69331938017
2022-01-31,132145.2864789015
2022-02-01,133168.883851487
2022-02-02,134609.06022407682
2022-02-03,133670.41361969785
2022-02-04,133948.39677967108
2022-02-07,133573.06408290993
2022-02-08,134513.30924853793
2022-02-09,135561.91115040268
2022-02-10,133959.58166863857
2022-02-11,132556.64705563342
2022-02-14,132573.45414406693
2022-02-15,133645.819057565
2022-02-16,133421.22160168266
2022-02-17,132642.0689062418
2022-02-18,132704.62476198352
2022-02-22,132612.86847097118
2022-02-23,132094.12404275712
2022-02-24,132112.755950052
2022-02-25,132136.3475136145
2022-02-28,132246.47721556353
2022-03-01,132650.3883411793
2022-03-02,133075.6146335495
2022-03-03,133133.56679004512
2022-03-04,133399.20479305423
2022-03-07,132387.57268950297
2022-03-08,131975.22544473247
2022-03-09,132342.4305661345
2022-03-10,132329.9929602219
2022-03-11,131446.45481471965
2022-03-14,131336.4598801586
2022-03-15,132692.68628281925
2022-03-16,133439.24018222917
2022-03-17,134017.44331605974
2022-03-18,135081.5052472745
2022-03-21,134385.92704815257
2022-03-22,135175.78349092428
2022-03-23,134196.69754270528
2022-03-24,135781.6632414731
2022-03-25,135707.86863307888
2022-03-28,136680.43821433204
2022-03-29,137475.47638240218
2022-03-30,137542.41000607764
2022-03-31,137438.0115466456
2022-04-01,138302.3712258608
2022-04-04,138638.01291426874
2022-04-05,137715.1196411293
2022-04-06,137946.547520232
2022-04-07,139861.76896745808
2022-04-08,139221.9509152072
2022-04-11,137979.45861110603
2022-04-12,137724.51520019863
2022-04-13,138537.34150819335
2022-04-14,138496.1283315017
2022-04-18,138511.18919041505
2022-04-19,138535.9233313419
2022-04-20,138560.66188907964
2022-04-21,138585.40486441695
2022-04-22,138610.15225814274
2022-04-25,138634.90407104598
2022-04-26,138659.6603039158
2022-04-27,138684.42095754147
2022-04-28,138709.18603271246
2022-04-29,138733.95553021829
2022-05-02,139758.72945084868
2022-05-03,139783.68636682205
2022-05-04,139808.64773938755
2022-05-05,138585.65797199047
2022-05-06,138604.34703972732
2022-05-09,138629.0978159844
2022-05-10,138653.85301202294
2022-05-11,138678.61262863223
2022-05-12,138703.3766666016
2022-05-13,138728.14512672063
2022-05-16,138752.91800977895
2022-05-17,138777.6953165664
2022-05-18,138802.4770478729
2022-05-19,138827.26320448858
2022-05-20,138852.05378720365
2022-05-23,138876.8487968085
2022-05-24,138901.64823409365
2022-05-25,138926.45209984973
2022-05-26,138951.26039486754
2022-05-27,138976.07311993805
2022-05-31,139000.89027585232
2022-06-01,140025.71186340158
2022-06-02,140050.71645480575
2022-06-03,140075.7255113155
2022-06-06,140100.73903372823
2022-06-07,140125.7570228414
2022-06-08,140150.7794794526
2022-06-09,140175.80640435964
2022-06-10,140200.83779836042
2022-06-13,140225.87366225297
2022-06-14,140250.9139968355
2022-06-15,140275.95880290636
2022-06-16,140301.008081264
2022-06-17,140326.06183270708
2022-06-21,140351.12005803434
2022-06-22,140376.18275804468
2022-06-23,140401.24993353718
2022-06-24,140426.32158531103
2022-06-27,140451.39771416553
2022-06-28,140476.4783209002
2022-06-29,140501.56340631464
2022-06-30,140526.65297120862
2022-07-01,141551.74701638205
2022-07-05,141577.02411406353
2022-07-06,141602.30572551247
2022-07-07,141627.59185153487
2022-07-08,141652.88249293691
2022-07-11,141678.17765052494
2022-07-12,141703.4773251054
2022-07-13,141728.78151748487
2022-07-14,141754.09022847013
2022-07-15,141779.40345886807
2022-07-18,141804.72120948572
2022-07-19,141830.04348113027
2022-07-20,141855.37027460904
2022-07-21,141880.7015907295
2022-07-22,141906.03743029927
2022-07-25,141931.3777941261
2022-07-26,141956.7226830179
2022-07-27,141982.07209778271
2022-07-28,142007.42603922874
2022-07-29,142032.7845081643
2022-08-01,143058.1475053979
2022-08-02,143083.69360316673
2022-08-03,143109.2442627387
2022-08-04,143134.79948492846
2022-08-05,143160.35927055075
2022-08-08,143185.92362042048
2022-08-09,143211.49253535268
2022-08-10,143237.06601616254
2022-08-11,143262.64406366542
2022-08-12,143288.2266786768
2022-08-15,143313.81386201226
2022-08-16,143129.95993926108
2022-08-17,142439.89948928845
2022-08-18,142460.54020261447
2022-08-19,142485.9795847935
2022-08-22,142511.42350971935
2022-08-23,142536.8719782032
2022-08-24,142562.32499105646
2022-08-25,142587.78254909057
2022-08-26,142613.24465311717
2022-08-29,142638.71130394808
2022-08-30,142664.1825023952
2022-08-31,142689.65824927064
2022-09-01,143715.13854538658
2022-09-02,143740.80196298397
2022-09-06,143766.4699633345
2022-09-07,143792.14254725652
2022-09-08,143817.8197155685
2022-09-09,143843.50146908913
2022-09-12,144411.74067763978
2022-09-13,142763.41619849595
2022-09-14,142779.65486601202
2022-09-15,142805.15123295237
2022-09-16,142830.6521528154
2022-09-19,143198.08924104145
2022-09-20,143141.0617155228
2022-09-21,142562.47943099146
2022-09-22,142601.74815365707
2022-09-23,141555.7758431804
2022-09-26,141576.51106451228
2022-09-27,141601.7925843452
2022-09-28,141627.07861873525
2022-09-29,141652.3691684886
2022-09-30,141290.42906799898
2022-10-03,142631.60494421422
2022-10-04,142804.24445009546
2022-10-05,142469.840586094
2022-10-06,142783.68018761795
2022-10-07,141449.3948624144
2022-10-10,141470.6614100792
2022-10-11,141495.92402818814
2022-10-12,141521.19115747887
2022-10-13,141546.46279875698
2022-10-14,141571.7389528282
2022-10-17,141597.01962049832
2022-10-18,141267.88221448974
2022-10-19,143867.92669502215
2022-10-20,143544.4419785812
2022-10-21,145317.49647482525
2022-10-24,144154.39190757388
2022-10-25,144180.13376327165
2022-10-26,144205.88021572935
2022-10-27,144231.63126576788
2022-10-28,144257.38691420818
2022-10-31,144283.14716187143
2022-11-01,145308.9120095789
2022-11-02,145334.8600295806
2022-11-03,145360.8126831573
2022-11-04,145386.76997113644
2022-11-07,145412.73189434558
2022-11-08,145438.69845361242
2022-11-09,145464.66964976484
2022-11-10,145490.64548363085
2022-11-11,145516.62595603862
2022-11-14,145542.61106781647
2022-11-15,145568.60081979286
2022-11-16,145218.13809464016
2022-11-17,144298.4593992848
2022-11-18,143680.12835948332
2022-11-21,143444.61166597344
2022-11-22,143465.23180754727
2022-11-23,143490.85059894147
2022-11-25,143516.47396511983
2022-11-28,143542.1019068993
2022-11-29,143567.73442509695
2022-11-30,143593.37152053
2022-12-01,144914.81903838657
2022-12-02,144858.22608448874
2022-12-05,143802.278142955
2022-12-06,142302.34303670784
2022-12-07,142570.59172976186
2022-12-08,142753.48116260656
2022-12-09,143634.0365972742
2022-12-12,143228.63954992464
2022-12-13,144565.8768783724
2022-12-14,143954.73539559793
2022-12-15,139125.67650075763
2022-12-16,138973.98482254846
2022-12-19,138862.93898686906
2022-12-20,138879.33622444654
2022-12-21,138904.13610591518
2022-12-22,138928.94041593408
2022-12-23,138953.74915529406
2022-12-27,138978.56232478606
2022-12-28,139003.37992520118
2022-12-29,139028.20195733066
2022-12-30,139053.0284219659
2023-01-03,140077.8593198984
2023-01-04,140515.42505749298
2023-01-05,140521.88873362425
2023-01-06,141955.94168060034
2023-01-09,140801.12045570812
2023-01-10,142208.21739942802
2023-01-11,142795.27414009
2023-01-12,143316.50071312484
2023-01-13,144543.34764964497
2023-01-17,143199.4528396191
2023-01-18,141364.92860310024
2023-01-19,139772.0609416087
2023-01-20,142238.14002725514
2023-01-23,143629.06755834172
2023-01-24,144237.92802278997
2023-01-25,144637.26293658093
2023-01-26,144373.079765708
2023-01-27,143478.47114165552
2023-01-30,141711.5002956129
2023-01-31,141782.5496817559
2023-02-01,142406.38495765373
2023-02-02,142649.3557545466
2023-02-03,142031.33131698618
2023-02-06,142335.1357362767
2023-02-07,143931.39627240464
2023-02-08,142613.20387761702
2023-02-09,141708.23938683365
2023-02-10,141921.0055148747
2023-02-13,141937.01515272228
2023-02-14,141962.36104828527
2023-02-15,142165.7441124695
2023-02-16,141536.91308044712
2023-02-17,141552.93395325413
