,NAV
2020-06-15,10000.0
2020-06-16,9966.624270118922
2020-06-17,9946.420984354172
2020-06-18,9948.152473824317
2020-06-19,9927.28138225347
2020-06-22,10030.844683722942
2020-06-23,10075.632613412743
2020-06-24,9894.899514197987
2020-06-25,10007.516255189756
2020-06-26,9820.498547310503
2020-06-29,9963.451339236992
2020-06-30,10140.726424180277
2020-07-01,10213.469372641352
2020-07-02,10407.94114925699
2020-07-06,10865.055143378424
2020-07-07,10850.112108783827
2020-07-08,10978.488202315952
2020-07-09,10979.813373848052
2020-07-10,11033.87887171173
2020-07-13,10884.796149477112
2020-07-14,11009.327089928556
2020-07-15,11092.313047210924
2020-07-16,11021.680061578596
2020-07-17,11034.391367021264
2020-07-20,11172.678029326391
2020-07-21,11145.095795678111
2020-07-22,11191.867548783634
2020-07-23,11011.076264065818
2020-07-24,10955.606174583883
2020-07-27,11072.287311416032
2020-07-28,10976.348639153157
2020-07-29,11115.590887937291
2020-07-30,11133.73020116334
2020-07-31,11230.108097633965
2020-08-03,11493.433040025593
2020-08-04,11561.33866637189
2020-08-05,11637.442335415868
2020-08-06,11783.06411889373
2020-08-07,11735.330145503696
2020-08-10,11721.880474276195
2020-08-11,11569.199424989481
2020-08-12,11801.281887702668
2020-08-13,11788.387404113077
2020-08-14,11791.458218284644
2020-08-17,12140.144711684148
2020-08-18,12205.727840256859
2020-08-19,12166.111886920975
2020-08-20,12317.77118641169
2020-08-21,12348.23322168101
2020-08-24,12463.911613385928
2020-08-25,12512.490163264698
2020-08-26,12605.247860797237
2020-08-27,12646.62669588118
2020-08-28,12708.30937238424
2020-08-31,12672.251158712435
2020-09-01,12772.56323774434
2020-09-02,12877.248638941615
2020-09-03,12673.930421691432
2020-09-04,12642.58762291383
2020-09-08,12542.927749630357
2020-09-09,12615.827164968265
2020-09-10,12551.235402848923
2020-09-11,12538.329410169099
2020-09-14,12620.77529613088
2020-09-15,12635.529331120928
2020-09-16,12647.338642321005
2020-09-17,12612.898876443485
2020-09-18,12583.109798647693
2020-09-21,12484.960097794323
2020-09-22,12521.812851435601
2020-09-23,12411.632856623128
2020-09-24,12417.03680124663
2020-09-25,12482.719596525756
2020-09-28,12567.659169928982
2020-09-29,12546.685384829507
2020-09-30,12525.11630521096
2020-10-01,12641.341906490938
2020-10-02,12502.881536400024
2020-10-05,12717.027412163396
2020-10-06,12629.411346937664
2020-10-07,12777.359449726875
2020-10-08,12815.850334906598
2020-10-09,12881.449460093116
2020-10-12,13096.189192912529
2020-10-13,13020.982751812526
2020-10-14,13003.122869908007
2020-10-15,12962.226378752062
2020-10-16,12888.2360155579
2020-10-19,12718.756476362001
2020-10-20,12739.77723896874
2020-10-21,12699.238620201026
2020-10-22,12731.276052191464
2020-10-23,12752.333760851334
2020-10-26,12601.974273064687
2020-10-27,12638.486786969468
2020-10-28,12264.020338463866
2020-10-29,12427.78326719509
2020-10-30,12163.450372386493
2020-11-02,12266.787096688207
2020-11-03,12512.582155897526
2020-11-04,12729.357078160758
2020-11-05,13002.063351746381
2020-11-06,13035.97779220056
2020-11-09,12852.720700853193
2020-11-10,12645.290857826294
2020-11-11,12914.72243254706
2020-11-12,12865.68835153321
2020-11-13,12881.675676665629
2020-11-16,12979.737496635022
2020-11-17,12993.769589267338
2020-11-18,13209.080718165664
2020-11-19,13314.472858357312
2020-11-20,13153.950491979263
2020-11-23,13309.892942576484
2020-11-24,13535.33431798614
2020-11-25,13573.4090102784
2020-11-27,13610.978379916667
2020-11-30,13661.480268705209
2020-12-01,13752.030981993912
2020-12-02,13780.734932645453
2020-12-03,13740.193907737046
2020-12-04,13764.293662378124
2020-12-07,13817.681877357605
2020-12-08,13812.924054575562
2020-12-09,13578.953291945683
2020-12-10,13611.808483444982
2020-12-11,13629.74667561164
2020-12-14,13696.078171837778
2020-12-15,13863.549587044909
2020-12-16,13914.941838847297
2020-12-17,13939.657162594238
2020-12-18,13946.311766132185
2020-12-21,13943.417272604913
2020-12-22,14017.780370072796
2020-12-23,13913.282852030168
2020-12-24,13996.502831342621
2020-12-28,14137.486669900429
2020-12-29,14168.901976090825
2020-12-30,14235.887609802667
2020-12-31,14256.300587983329
2021-01-04,14239.717157740457
2021-01-05,14334.572296657598
2021-01-06,14175.90554701376
2021-01-07,14660.397747939578
2021-01-08,14956.413920265122
2021-01-11,14893.519447603807
2021-01-12,14860.081185022931
2021-01-13,14893.706435463513
2021-01-14,14805.072393102524
2021-01-15,14688.250461963933
2021-01-19,14826.220139731233
2021-01-20,15058.148627849452
2021-01-21,15165.009002976545
2021-01-22,15104.810880093682
2021-01-25,15207.115548474732
2021-01-26,15192.20820605511
2021-01-27,14974.242224829279
2021-01-28,15040.278802365068
2021-01-29,14808.410047740956
2021-02-01,15054.29752820676
2021-02-02,15182.508397039299
2021-02-03,15216.182749361913
2021-02-04,15323.209798774118
2021-02-05,15329.422533363331
2021-02-08,15600.07222104228
2021-02-09,15586.815829292986
2021-02-10,15634.708103108269
2021-02-11,15751.272992290256
2021-02-12,15739.461327904877
2021-02-16,15741.427210606182
2021-02-17,15620.556671516808
2021-02-18,15521.594305285784
2021-02-19,15558.198439034422
2021-02-22,15250.017146820515
2021-02-23,15166.055353093916
2021-02-24,15359.850779806535
2021-02-25,14785.135361741388
2021-02-26,14890.767599185749
2021-03-01,15262.310349272731
2021-03-02,15008.579494248404
2021-03-03,14672.632894074766
2021-03-04,14417.313539136007
2021-03-05,14645.262390021393
2021-03-08,14339.88127921317
2021-03-09,14799.966626694026
2021-03-10,14830.369034637033
2021-03-11,15138.603798884893
2021-03-12,15097.774124703546
2021-03-15,15217.875557894584
2021-03-16,15242.805592815617
2021-03-17,15280.133753168167
2021-03-18,14831.12563497016
2021-03-19,14869.20530542547
2021-03-22,15079.286681836638
2021-03-23,14921.377812972467
2021-03-24,14667.810814464508
2021-03-25,14697.890706070993
2021-03-26,14948.158139478604
2021-03-29,14866.34129077465
