timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
4h,0.1,MACD-Only,0.0,0.6806484068389382,0.19509303750912887,0.9600977915195614,-0.29994890379005634,1303,33612.96813677876,2188.010300679988
4h,0.08,MACD-Only,0.0,0.6488532719819129,0.18728302027891353,0.9485439062781739,-0.2861257060356248,1511,32977.06543963826,2380.799876632387
4h,0.1,MACD-Only,0.0001,0.6424768646091874,0.1857048669117971,0.9402157985772928,-0.2999546477944781,1303,32849.53729218375,2812.507028424274
4h,0.08,MACD-Only,0.0001,0.6085005679923849,0.17722720938258374,0.9275185379244262,-0.286127800639034,1511,32170.0113598477,3048.666637471204
1h,0.1,MACD+ADX+MA,0.0,0.5689904738091194,0.16876021326209112,0.44647778087568113,-0.40753071519795947,1344,31379.80947618239,2877.457576838537
1h,0.08,MACD+ADX+MA,0.0,0.5608680476570482,0.16666192534048574,0.44454966386305,-0.4089782775995918,1438,31217.360953140964,2918.4184453981784
1d,0.1,MACD+ADX+MA,0.0,0.5066883941471629,0.1620336880626294,1.360025446756624,-0.3640154223049331,316,30133.76788294326,441.08976139031125
4h,0.03,MACD-Only,0.0,0.5471687909216894,0.1616211604095581,0.8997751580217627,-0.2870679049152134,2303,30943.375818433786,2767.4744366187515
1d,0.08,MACD+ADX+MA,0.0,0.5030777889322218,0.16101274767492413,1.3574387052541064,-0.3326964527198898,344,30061.555778644437,456.2676698928842
1d,0.1,MACD+ADX+MA,0.0001,0.49708776025263735,0.1593155646194231,1.349240379439574,-0.36405088785987805,316,29941.75520505275,597.3426840724685
1h,0.05,MACD+ADX+MA,0.0,0.5317346211671647,0.15907654451902875,0.4267308489719033,-0.4089752691603289,1717,30634.692423343295,3023.461381479715
1d,0.05,MACD+ADX+MA,0.0,0.4931870985325697,0.15820805724190623,1.341382183400157,-0.396701632047332,445,29863.741970651394,498.7652887687452
1d,0.08,MACD+ADX+MA,0.0001,0.4929897320157841,0.15815197064575237,1.3455626265468812,-0.33272991879239744,344,29859.794640315682,619.591583586974
1d,0.03,MACD+ADX+MA,0.0,0.488792912903143,0.15695822651075098,1.336521928090678,-0.3967016320473319,584,29775.85825806286,542.97374105188
4h,0.05,MACD-Only,0.0,0.5245861202410911,0.1557726659251768,0.8767573456816176,-0.2886981939239568,1973,30491.72240482182,2610.7757893143644
1d,0.05,MACD+ADX+MA,0.0001,0.48312068596228697,0.15534142370041937,1.3305597552927488,-0.3967969812995835,446,29662.41371924574,681.2669383817329
1h,0.1,MACD+ADX+MA,0.0001,0.5174207282785317,0.155315091554441,0.43005763734492386,-0.4086343341594658,1344,30348.414565570634,3704.608913782794
1d,0.03,MACD+ADX+MA,0.0001,0.4767030703234396,0.153507425060893,1.3234489754375214,-0.3967969812995833,584,29534.061406468794,740.0282638770707
1h,0.08,MACD+ADX+MA,0.0001,0.5091832390336781,0.1531398906155783,0.42804822202763865,-0.4101039086765983,1438,30183.664780673564,3758.701068690412
1h,0.03,MACD+ADX+MA,0.0,0.4975623399581053,0.1500580230294586,0.4194696229423683,-0.40975954756270994,1934,29951.246799162105,3105.3227103928975
4h,0.03,MACD-Only,0.0001,0.5024993943548954,0.14999731965077756,0.8753744931373602,-0.28807572187063823,2303,30049.98788709791,3518.8673272126143
1h,0.05,MACD+ADX+MA,0.0001,0.4785092733249474,0.14497112885837948,0.4087246489520463,-0.4101121593520566,1716,29570.185466498948,3886.3342682264747
4h,0.05,MACD-Only,0.0001,0.48250065865064706,0.14471965665026132,0.8525265753231838,-0.29075386759004795,1973,29650.01317301294,3325.7019373808566
4h,0.08,MACD+MA,0.0,0.45971199867481083,0.14324198527305199,0.8768068901682802,-0.36710914698954766,1086,29194.239973496216,1812.7707596933462
