,NAV
2026-04-10 09:30:00,200005.79975579976
2026-04-10 10:00:00,200005.79975579976
2026-04-10 10:30:00,200005.79975579976
2026-04-10 11:00:00,200005.79975579976
2026-04-10 11:30:00,200005.79975579976
2026-04-10 12:00:00,200005.79975579976
2026-04-10 12:30:00,200005.79975579976
2026-04-10 13:00:00,200005.79975579976
2026-04-10 13:30:00,200005.79975579976
2026-04-10 14:00:00,200005.79975579976
2026-04-10 14:30:00,200005.79975579976
2026-04-10 15:00:00,200005.79975579976
2026-04-10 15:30:00,200005.79975579976
2026-04-13 09:30:00,200011.59967978534
2026-04-13 10:00:00,200011.59967978534
2026-04-13 10:30:00,200011.59967978534
2026-04-13 11:00:00,200011.59967978534
2026-04-13 11:30:00,200011.59967978534
2026-04-13 12:00:00,200011.59967978534
2026-04-13 12:30:00,200011.59967978534
2026-04-13 13:00:00,200011.59967978534
2026-04-13 13:30:00,200011.59967978534
2026-04-13 14:00:00,200011.59967978534
2026-04-13 14:30:00,200011.59967978534
2026-04-13 15:00:00,198463.36251125767
2026-04-13 15:30:00,196621.88197575134
2026-04-14 09:30:00,196627.58377025308
2026-04-14 10:00:00,196627.58377025308
2026-04-14 10:30:00,196627.58377025308
2026-04-14 11:00:00,196627.58377025308
2026-04-14 11:30:00,196627.58377025308
2026-04-14 12:00:00,196627.58377025308
2026-04-14 12:30:00,196627.58377025308
2026-04-14 13:00:00,196627.58377025308
2026-04-14 13:30:00,195800.0621496479
2026-04-14 14:00:00,196131.07711135483
2026-04-14 14:30:00,195551.80092836774
2026-04-14 15:00:00,193565.75850911258
2026-04-14 15:30:00,193772.65075201044
2026-04-15 09:30:00,193778.2699222856
2026-04-15 10:00:00,193778.2699222856
2026-04-15 10:30:00,193778.2699222856
2026-04-15 11:00:00,193778.2699222856
2026-04-15 11:30:00,193778.2699222856
2026-04-15 12:00:00,193778.2699222856
2026-04-15 12:30:00,193778.2699222856
2026-04-15 13:00:00,195092.06280450366
2026-04-15 13:30:00,195555.12903275722
2026-04-15 14:00:00,197331.97171136952
2026-04-15 14:30:00,198204.2405329377
2026-04-15 15:00:00,201144.11378426067
2026-04-15 15:30:00,201144.11378426067
2026-04-16 09:30:00,201149.9467179632
2026-04-16 10:00:00,201149.9467179632
2026-04-16 10:30:00,201149.9467179632
2026-04-16 11:00:00,201149.9467179632
2026-04-16 11:30:00,199948.38527359246
2026-04-16 12:00:00,200971.05107800252
2026-04-16 12:30:00,201817.48651247213
2026-04-16 13:00:00,201772.97480550906
2026-04-16 13:30:00,202754.69391381118
2026-04-16 14:00:00,204799.12578179638
2026-04-16 14:30:00,204799.12578179638
2026-04-16 15:00:00,204799.12578179638
2026-04-16 15:30:00,204799.12578179638
2026-04-17 09:30:00,204805.06470638406
2026-04-17 10:00:00,204805.06470638406
2026-04-17 10:30:00,204805.06470638406
2026-04-17 11:00:00,204805.06470638406
2026-04-17 11:30:00,204805.06470638406
2026-04-17 12:00:00,204805.06470638406
2026-04-17 12:30:00,204805.06470638406
2026-04-17 13:00:00,204805.06470638406
2026-04-17 13:30:00,204805.06470638406
2026-04-17 14:00:00,204805.06470638406
2026-04-17 14:30:00,204805.06470638406
2026-04-17 15:00:00,204805.06470638406
2026-04-17 15:30:00,204805.06470638406
2026-04-20 09:30:00,204811.0038031933
2026-04-20 10:00:00,204811.0038031933
2026-04-20 10:30:00,204811.0038031933
2026-04-20 11:00:00,204811.0038031933
2026-04-20 11:30:00,204811.0038031933
2026-04-20 12:00:00,204811.0038031933
2026-04-20 12:30:00,204811.0038031933
2026-04-20 13:00:00,204811.0038031933
2026-04-20 13:30:00,204811.0038031933
2026-04-20 14:00:00,204811.0038031933
2026-04-20 14:30:00,204811.0038031933
2026-04-20 15:00:00,204811.0038031933
2026-04-20 15:30:00,204811.0038031933
2026-04-21 09:30:00,204816.9430722291
2026-04-21 10:00:00,204816.9430722291
2026-04-21 10:30:00,204816.9430722291
2026-04-21 11:00:00,204816.9430722291
2026-04-21 11:30:00,204816.9430722291
2026-04-21 12:00:00,204816.9430722291
2026-04-21 12:30:00,204816.9430722291
2026-04-21 13:00:00,204816.9430722291
2026-04-21 13:30:00,204816.9430722291
2026-04-21 14:00:00,204816.9430722291
2026-04-21 14:30:00,204816.9430722291
2026-04-21 15:00:00,204816.9430722291
2026-04-21 15:30:00,204816.9430722291
2026-04-22 09:30:00,204822.88251349644
2026-04-22 10:00:00,204822.88251349644
2026-04-22 10:30:00,204822.88251349644
2026-04-22 11:00:00,204822.88251349644
2026-04-22 11:30:00,204822.88251349644
2026-04-22 12:00:00,204822.88251349644
2026-04-22 12:30:00,204822.88251349644
2026-04-22 13:00:00,204822.88251349644
2026-04-22 13:30:00,204822.88251349644
2026-04-22 14:00:00,205576.18697524938
2026-04-22 14:30:00,204659.1279168792
2026-04-22 15:00:00,204438.5881238002
2026-04-22 15:30:00,203894.89121158302
2026-04-23 09:30:00,203900.80391447223
2026-04-23 10:00:00,203900.80391447223
2026-04-23 10:30:00,203900.80391447223
2026-04-23 11:00:00,203900.80391447223
2026-04-23 11:30:00,203900.80391447223
2026-04-23 12:00:00,203900.80391447223
2026-04-23 12:30:00,203900.80391447223
2026-04-23 13:00:00,203900.80391447223
2026-04-23 13:30:00,203900.80391447223
2026-04-23 14:00:00,203900.80391447223
2026-04-23 14:30:00,203900.80391447223
2026-04-23 15:00:00,203900.80391447223
2026-04-23 15:30:00,203900.80391447223
2026-04-24 09:30:00,203906.7167888226
2026-04-24 10:00:00,203906.7167888226
2026-04-24 10:30:00,203906.7167888226
2026-04-24 11:00:00,203906.7167888226
2026-04-24 11:30:00,203906.7167888226
2026-04-24 12:00:00,203906.7167888226
2026-04-24 12:30:00,203906.7167888226
2026-04-24 13:00:00,203906.7167888226
2026-04-24 13:30:00,203906.7167888226
2026-04-24 14:00:00,203906.7167888226
2026-04-24 14:30:00,203906.7167888226
2026-04-24 15:00:00,203906.7167888226
2026-04-24 15:30:00,203906.7167888226
2026-04-27 09:30:00,203912.62983463914
2026-04-27 10:00:00,203912.62983463914
2026-04-27 10:30:00,203912.62983463914
2026-04-27 11:00:00,203912.62983463914
2026-04-27 11:30:00,203912.62983463914
2026-04-27 12:00:00,203912.62983463914
2026-04-27 12:30:00,203912.62983463914
2026-04-27 13:00:00,203912.62983463914
2026-04-27 13:30:00,203912.62983463914
2026-04-27 14:00:00,203912.62983463914
2026-04-27 14:30:00,203912.62983463914
2026-04-27 15:00:00,203912.62983463914
2026-04-27 15:30:00,203912.62983463914
2026-04-28 09:30:00,203918.54305192677
2026-04-28 10:00:00,203918.54305192677
2026-04-28 10:30:00,203918.54305192677
2026-04-28 11:00:00,203918.54305192677
2026-04-28 11:30:00,203918.54305192677
2026-04-28 12:00:00,203918.54305192677
2026-04-28 12:30:00,203918.54305192677
2026-04-28 13:00:00,203918.54305192677
2026-04-28 13:30:00,203918.54305192677
2026-04-28 14:00:00,203918.54305192677
2026-04-28 14:30:00,203918.54305192677
2026-04-28 15:00:00,203918.54305192677
2026-04-28 15:30:00,203918.54305192677
2026-04-29 09:30:00,203924.45644069047
2026-04-29 10:00:00,203924.45644069047
2026-04-29 10:30:00,203924.45644069047
2026-04-29 11:00:00,203924.45644069047
2026-04-29 11:30:00,203924.45644069047
2026-04-29 12:00:00,203924.45644069047
2026-04-29 12:30:00,203924.45644069047
2026-04-29 13:00:00,203924.45644069047
2026-04-29 13:30:00,203924.45644069047
2026-04-29 14:00:00,203924.45644069047
2026-04-29 14:30:00,203924.45644069047
2026-04-29 15:00:00,203924.45644069047
2026-04-29 15:30:00,203924.45644069047
2026-04-30 09:30:00,203930.37000093525
2026-04-30 10:00:00,203930.37000093525
2026-04-30 10:30:00,203930.37000093525
2026-04-30 11:00:00,203930.37000093525
2026-04-30 11:30:00,203930.37000093525
2026-04-30 12:00:00,203930.37000093525
2026-04-30 12:30:00,203930.37000093525
2026-04-30 13:00:00,203930.37000093525
2026-04-30 13:30:00,203930.37000093525
2026-04-30 14:00:00,204322.10489253674
2026-04-30 14:30:00,204133.49343649115
2026-04-30 15:00:00,204902.46230958088
2026-04-30 15:30:00,204626.80111526762
2026-05-01 09:30:00,210582.98268833637
2026-05-01 10:00:00,210582.98268833637
2026-05-01 10:30:00,210582.98268833637
2026-05-01 11:00:00,210582.98268833637
2026-05-01 11:30:00,210582.98268833637
2026-05-01 12:00:00,210582.98268833637
2026-05-01 12:30:00,210582.98268833637
2026-05-01 13:00:00,210582.98268833637
2026-05-01 13:30:00,210582.98268833637
2026-05-01 14:00:00,210582.98268833637
2026-05-01 14:30:00,210582.98268833637
2026-05-01 15:00:00,210582.98268833637
2026-05-01 15:30:00,210582.98268833637
2026-05-04 09:30:00,210589.08933771224
2026-05-04 10:00:00,210589.08933771224
2026-05-04 10:30:00,210589.08933771224
2026-05-04 11:00:00,210589.08933771224
2026-05-04 11:30:00,210589.08933771224
2026-05-04 12:00:00,210589.08933771224
2026-05-04 12:30:00,210589.08933771224
2026-05-04 13:00:00,210589.08933771224
2026-05-04 13:30:00,210589.08933771224
2026-05-04 14:00:00,210589.08933771224
2026-05-04 14:30:00,210589.08933771224
2026-05-04 15:00:00,210589.08933771224
2026-05-04 15:30:00,210589.08933771224
2026-05-05 09:30:00,210595.19616417348
2026-05-05 10:00:00,210595.19616417348
2026-05-05 10:30:00,210595.19616417348
2026-05-05 11:00:00,210595.19616417348
2026-05-05 11:30:00,210595.19616417348
2026-05-05 12:00:00,210595.19616417348
2026-05-05 12:30:00,210595.19616417348
2026-05-05 13:00:00,210595.19616417348
2026-05-05 13:30:00,210595.19616417348
2026-05-05 14:00:00,210595.19616417348
2026-05-05 14:30:00,210595.19616417348
2026-05-05 15:00:00,210595.19616417348
2026-05-05 15:30:00,210595.19616417348
2026-05-06 09:30:00,210601.30316772524
2026-05-06 10:00:00,210601.30316772524
2026-05-06 10:30:00,210601.30316772524
2026-05-06 11:00:00,210601.30316772524
2026-05-06 11:30:00,210601.30316772524
2026-05-06 12:00:00,210601.30316772524
2026-05-06 12:30:00,210601.30316772524
2026-05-06 13:00:00,210601.30316772524
2026-05-06 13:30:00,210601.30316772524
2026-05-06 14:00:00,210601.30316772524
2026-05-06 14:30:00,210694.73494220633
2026-05-06 15:00:00,211736.21304575805
2026-05-06 15:30:00,212136.4196088721
2026-05-07 09:30:00,213511.96637250503
2026-05-07 10:00:00,213511.96637250503
2026-05-07 10:30:00,213511.96637250503
2026-05-07 11:00:00,215063.65544699001
2026-05-07 11:30:00,216529.54160559527
2026-05-07 12:00:00,216529.54160559527
2026-05-07 12:30:00,216529.54160559527
2026-05-07 13:00:00,216529.54160559527
2026-05-07 13:30:00,218346.71119575246
2026-05-07 14:00:00,217495.38820655041
2026-05-07 14:30:00,217259.1570000619
2026-05-07 15:00:00,216584.8918838362
2026-05-07 15:30:00,218071.36719302693
2026-05-08 09:30:00,218077.69099641012
2026-05-08 10:00:00,218077.69099641012
2026-05-08 10:30:00,218077.69099641012
2026-05-08 11:00:00,218077.69099641012
2026-05-08 11:30:00,218077.69099641012
2026-05-08 12:00:00,218077.69099641012
2026-05-08 12:30:00,218077.69099641012
2026-05-08 13:00:00,218077.69099641012
2026-05-08 13:30:00,218077.69099641012
