,NAV
2026-04-10,200000.0
2026-04-13,197112.41185988835
2026-04-14,185816.13419044862
2026-04-15,191871.32012994692
2026-04-16,188258.7725625828
2026-04-17,188258.7725625828
2026-04-20,188773.23340529227
2026-04-21,188773.23340529227
2026-04-22,180260.53359517996
2026-04-23,183943.71934939944
2026-04-24,175238.0857271905
2026-04-27,174057.79741704985
2026-04-28,175172.54898427578
2026-04-29,174194.8377027565
2026-04-30,163375.86995131284
2026-05-01,163329.1390117918
2026-05-04,168508.62551995768
2026-05-05,168508.62551995768
2026-05-06,157279.21216725602
2026-05-07,156284.65374566094
2026-05-08,148189.83240613743
2026-05-11,145648.33527597156
2026-05-12,145648.33527597156
2026-05-13,140052.38955664204
2026-05-14,142804.73742740636
2026-05-15,143266.22556211054
2026-05-18,143266.22556211054
2026-05-19,143266.22556211054
2026-05-20,134312.05290298455
2026-05-21,133284.60105102387
2026-05-22,132669.1524561037
2026-05-26,131060.41300515133
2026-05-27,129144.93243232496
2026-05-28,126041.11794439777
2026-05-29,132002.57601774076
2026-06-01,129051.88719033512
2026-06-02,120110.54228630805
2026-06-03,120110.54228630805
2026-06-04,122567.36355775002
2026-06-05,122567.36355775002
2026-06-08,122567.36355775002
2026-06-09,124527.3931182174
2026-06-10,124527.3931182174
2026-06-11,116368.72643222888
2026-06-12,116029.53907962704
2026-06-15,113940.38905126
2026-06-16,113940.38905126
2026-06-17,113940.38905126
2026-06-18,113940.38905126
2026-06-22,116266.3476141365
2026-06-23,116266.3476141365
2026-06-24,118678.23728603023
2026-06-25,119172.28918719284
2026-06-26,119172.28918719284
2026-06-29,116105.26897692043
2026-06-30,114095.40268746998
2026-07-01,114378.62743094249
2026-07-02,115081.16767500571
2026-07-06,112972.61877478368
2026-07-07,112972.61877478368
