Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2003-12-01,200000.0,200000.0,200000.0,0.0
2003-12-02,200051.8253968254,197695.01945238718,200051.8253968254,0.0
2003-12-03,200103.6642230096,194425.16180346513,200103.66422300957,0.0
2003-12-04,200155.5164820325,195524.98007846798,200155.51648203246,0.0
2003-12-05,200207.38217737485,192441.78919064745,200207.38217737485,0.0
2003-12-08,200259.26131251844,193626.76904814452,200259.26131251839,0.0
2003-12-09,200311.15389094586,188500.6256813931,200311.1538909458,0.0
2003-12-10,200363.05991614063,189975.16898760205,200363.05991614057,0.0
2003-12-11,200414.97939158714,192346.15615586744,200414.9793915871,0.0
2003-12-12,200466.91232077076,194715.7369370294,200466.91232077073,0.0
2003-12-15,200518.8587071777,192593.6121665056,200518.85870717766,0.0
2003-12-16,200570.81855429505,192116.30732203313,200570.81855429502,0.0
2003-12-17,200622.79186561093,191916.1723530542,200622.7918656109,0.0
2003-12-18,200674.7786446142,195840.15566768553,200674.77864461418,0.0
2003-12-19,200726.77889479476,195148.42893505766,200726.7788947947,0.0
2003-12-22,200778.7926196433,196626.2659356861,200778.79261964324,0.0
2003-12-23,200830.81982265148,197696.86472041407,200830.81982265142,0.0
2003-12-24,200882.86050731188,198122.82435273417,200882.86050731182,0.0
2003-12-26,200934.91467711795,196879.47376475792,200934.9146771179,0.0
2003-12-29,200986.98233556404,200477.0362535822,200986.98233556398,0.0
2003-12-30,201039.06348614543,200904.14741553113,201039.06348614537,0.0
2003-12-31,201091.1581323583,200211.5434567807,201091.15813235828,0.0
2004-01-02,201143.26627769976,197271.52881387758,201143.2662776997,0.0
2004-01-05,201195.38792566775,199867.25286968105,201195.3879256677,0.0
2004-01-06,201247.5230797612,199528.7752938621,201247.52307976116,0.0
2004-01-07,201299.67174347988,201752.3220093878,201299.67174347985,0.0
2004-01-08,201351.8339203245,202221.96905703304,201351.83392032448,0.0
2004-01-09,201404.00961379672,199853.9619968856,201404.0096137967,0.0
