Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2007-04-11,200000.0,200000.0,200000.0,0.0,0.0,1
2007-04-12,200051.8253968254,201111.21118345813,200051.8253968254,0.0,0.0,1
2007-04-13,200103.6642230096,200637.08656914395,200103.66422300957,0.0,0.0,1
2007-04-16,200321.53916752525,203016.19131560574,200155.51648203246,0.0,0.35,1
2007-04-17,200440.03504730732,203676.36505601814,200207.38217737485,0.0,0.35,1
2007-04-18,200426.89805342405,202827.89829311083,200259.26131251839,0.0,0.35,1
2007-04-19,200351.68473084478,203106.5171227114,200311.1538909458,0.0,0.35,1
2007-04-20,200295.50058427118,203932.7486733541,200363.05991614057,0.0,0.35,1
2007-04-23,200495.6178523035,204695.37540561316,200414.9793915871,0.0,0.35,1
2007-04-24,200634.76375182488,206002.95299514465,200466.91232077073,0.0,0.35,0
2007-04-25,200376.49501192238,207847.35245888727,200518.85870717766,0.0,0.35,0
2007-04-26,200551.7845672016,209308.85161392437,200570.81855429502,0.0,0.35,0
2007-04-27,200142.799926983,208040.6690463742,200622.7918656109,0.0,0.35,1
2007-04-30,200791.28588453596,207080.54525573264,200674.77864461418,0.0,0.35,0
2007-05-01,200592.90005734251,206179.92357005307,200726.7788947947,0.0,0.35,0
2007-05-02,200493.4215933461,207992.10003204003,200778.79261964324,0.0,0.35,1
2007-05-03,200544.22537064433,208767.19701730408,200830.81982265142,0.0,0.35,1
2007-05-04,200093.14538680093,207466.04512509398,200882.86050731182,0.0,0.35,1
2007-05-07,200102.49704911213,207356.88057725935,200934.9146771179,0.0,0.35,1
2007-05-08,200217.93348687515,208007.02611146207,200986.98233556398,0.0,0.35,1
2007-05-09,199924.6508365189,207442.32007967206,201039.06348614537,0.0,0.35,1
2007-05-10,200349.12344570164,205713.34895060197,201091.15813235828,0.0,0.35,1
2007-05-11,199885.7387034382,206826.93752852042,201143.2662776997,0.0,0.35,1
2007-05-14,199827.8939660278,205106.8153805244,201195.3879256677,0.0,0.35,1
2007-05-15,200220.91161623292,204526.69746845268,201247.52307976116,0.0,0.35,1
2007-05-16,200071.8424434751,205947.82092556704,201299.67174347985,0.0,0.35,1
2007-05-17,200363.81506810358,205693.6499382167,201351.83392032448,0.0,0.35,1
2007-05-18,200182.98558137877,206709.30323186045,201404.0096137967,0.0,0.35,1
2007-05-21,200128.40771329682,207737.62528079914,201456.19882739897,0.0,0.35,1
2007-05-22,200399.2617020745,208581.06619349995,201508.40156463484,0.0,0.35,1
2007-05-23,200410.44670450955,207501.9513623642,201560.61782900852,0.0,0.35,1
2007-05-24,200722.69429726442,205308.68234976768,201612.8476240253,0.0,0.35,1
2007-05-25,200103.99301252578,204642.95705212088,201665.0909531914,0.0,0.35,1
2007-05-29,200697.42581157509,207840.16110584146,201717.34782001382,0.0,0.35,1
2007-05-30,200238.17224368494,208019.4600121383,201769.61822800047,0.0,0.35,1
2007-05-31,200333.3995476752,209135.35662627872,201821.90218066037,0.0,0.35,1
2007-06-01,199860.5730687631,207718.6204476249,201874.19968150323,0.0,0.35,1
2007-06-04,200564.95330458533,210291.62976220303,201926.51073403974,0.0,0.35,1
2007-06-05,200896.38490687017,211145.59629339457,201978.83534178155,0.0,0.35,1
2007-06-06,201227.20295376802,209727.23211188248,202031.17350824113,0.0,0.35,1
2007-06-07,201970.3914380436,208516.74814799058,202083.52523693195,0.0,0.35,0
2007-06-08,201862.15290228557,210619.23425085176,202135.89053136838,0.0,0.35,1
2007-06-11,201827.97076531567,209974.7876812978,202188.26939506558,0.0,0.35,1
2007-06-12,202350.14412465983,210123.93218111008,202240.66183153982,0.0,0.35,0
2007-06-13,201909.7344911108,210965.63612958405,202293.06784430804,0.0,0.35,1
2007-06-14,201643.01302720932,211414.29602798918,202345.48743688836,0.0,0.35,1
2007-06-15,201273.93639537928,212110.09875448333,202397.9206127996,0.0,0.35,1
2007-06-18,201143.04373008254,211620.47488874928,202450.36737556156,0.0,0.35,1
2007-06-19,200900.07655767142,210706.4859181758,202502.82772869497,0.0,0.35,1
2007-06-20,201662.62579333232,210846.6794614249,202555.3016757215,0.0,0.35,1
2007-06-21,201411.00355024528,211864.3537221905,202607.78922016366,0.0,0.35,1
2007-06-22,201424.86421747465,209770.09802663434,202660.2903655449,0.0,0.35,1
2007-06-25,201791.5278715856,209831.30807016965,202712.80511538964,0.0,0.35,0
2007-06-26,201890.2583112183,208782.19931642147,202765.33347322312,0.0,0.35,0
2007-06-27,201712.13538985146,211318.7976518742,202817.87544257156,0.0,0.35,1
2007-06-28,201650.98584412545,210907.5732938043,202870.43102696206,0.0,0.35,1
2007-06-29,201612.5647069065,211008.295459897,202923.0002299226,0.0,0.35,1
2007-07-02,201469.3458703033,212341.87531004034,202975.58305498215,0.0,0.35,1
2007-07-03,201580.13606494167,213774.3843444686,203028.17950567062,0.0,0.35,1
2007-07-05,201785.30572071936,215807.17287617084,203080.7895855187,0.0,0.35,1
2007-07-06,201740.25296126347,216413.0669816436,203133.41329805815,0.0,0.35,1
2007-07-09,201652.49115323898,216133.85140301893,203186.0506468215,0.0,0.35,1
2007-07-10,202331.10054185544,216240.28174200142,203238.7016353423,0.0,0.35,0
2007-07-11,202036.47217007264,216663.00567751264,203291.36626715492,0.0,0.35,1
2007-07-12,201775.32250255323,219034.77038792358,203344.0445457948,0.0,0.35,1
2007-07-13,201864.61958008294,220670.73974942416,203396.73647479818,0.0,0.35,1
2007-07-16,201911.2366893546,220449.57426843292,203449.44205770214,0.0,0.35,1
2007-07-17,201879.02967480719,221882.4108944399,203502.16129804487,0.0,0.35,1
2007-07-18,201782.95555706957,221169.85118766248,203554.89419936537,0.0,0.35,1
2007-07-19,201959.2980106114,222238.52892617165,203607.6407652035,0.0,0.35,1
2007-07-20,202282.28122900444,221910.13161611938,203660.40099910024,0.0,0.35,1
2007-07-23,202033.5910318388,221072.72834496934,203713.17490459722,0.0,0.35,1
2007-07-24,202676.74971109082,219642.384677918,203765.96248523716,0.0,0.35,0
2007-07-25,202929.2172362588,220591.6525492891,203818.76374456374,0.0,0.35,0
2007-07-26,203584.1883393593,220588.4197715107,203871.57868612133,0.0,0.35,0
2007-07-27,203943.4092801875,217076.6918100993,203924.40731345548,0.0,0.35,0
2007-07-30,203237.9763771202,217294.87866165277,203977.24963011252,0.0,0.35,0
2007-07-31,203928.4865755321,214654.01080490102,204030.1056396397,0.0,0.35,0
2007-08-01,203692.30291651573,215466.59375490772,204082.9753455852,0.0,0.35,0
2007-08-02,203738.03722667214,217441.80231501514,204135.8587514982,0.0,0.35,0
2007-08-03,203878.28357404436,213582.27331254858,204188.75586092865,0.0,0.35,0
2007-08-06,203840.0405185208,215801.22486819077,204241.6666774275,0.0,0.35,0
2007-08-07,203899.5055110968,217368.46092626383,204294.5912045467,0.0,0.35,0
2007-08-08,203797.92440319774,219295.49291757643,204347.529445839,0.0,0.35,0
2007-08-09,204328.26648998167,215672.8093438797,204400.48140485812,0.0,0.35,0
2007-08-10,204349.43963184534,213651.28097642495,204453.44708515864,0.0,0.35,0
2007-08-13,204461.6932266213,215293.02317264033,204506.42649029617,0.0,0.35,0
2007-08-14,205100.8137415395,213379.57042805367,204559.4196238272,0.0,0.35,0
2007-08-15,205850.3016806957,211367.82810901638,204612.4264893091,0.0,0.35,0
2007-08-16,205692.0191187025,208697.76094529242,204665.44709030018,0.0,0.35,0
2007-08-17,205465.5863564692,211837.70441017306,204718.4814303597,0.0,0.35,0
2007-08-20,205434.19132953967,212610.7302920433,204771.5295130478,0.0,0.35,0
2007-08-21,205617.4816026283,215255.56372489163,204824.59134192558,0.0,0.35,0
2007-08-22,205016.76925805563,216220.6872333691,204877.66692055506,0.0,0.35,0
2007-08-23,205106.37436918137,215757.79601879837,204930.75625249918,0.0,0.35,0
2007-08-24,205036.71948367753,218442.62186939537,204983.85934132175,0.0,0.35,0
2007-08-27,205188.22257845043,217307.24358985206,205036.97619058756,0.0,0.35,0
2007-08-28,205938.15075088403,214208.1175608254,205090.10680386238,0.0,0.35,0
2007-08-29,205465.23158256087,218758.41862318688,205143.25118471275,0.0,0.35,0
2007-08-30,205593.89950388286,220144.14495450378,205196.40933670625,0.0,0.35,1
2007-08-31,205297.17897109597,221539.33848404148,205249.58126341132,0.0,0.35,1
2007-09-04,205312.0071729742,225109.13982105264,205302.76696839745,0.0,0.35,1
2007-09-05,205695.17549497812,223884.52284002816,205355.9664552349,0.0,0.35,1
