date,nav
2022-06-21,200000.0
2022-06-22,200036.27777777778
2022-06-23,200072.56213594135
2022-06-24,200108.85307568434
2022-06-27,200217.74564323304
2022-06-28,200254.0629176511
2022-06-29,200290.38677961924
2022-06-30,200326.71723033232
2022-07-01,200072.52784229256
2022-07-04,198489.1495108066
2022-07-05,200184.95987454447
2022-07-06,203358.72640337097
2022-07-07,203736.36565661518
2022-07-08,203474.89220646693
2022-07-11,202770.36551155167
2022-07-12,203307.8040245907
2022-07-13,202966.45562570612
2022-07-14,202744.94762574887
2022-07-15,202643.27240645268
2022-07-18,204695.00733171048
2022-07-19,202556.1678258289
2022-07-20,203093.6250755185
2022-07-21,202272.96985162515
2022-07-22,201572.147412577
2022-07-25,202984.83557133685
2022-07-26,203322.59172159003
2022-07-27,203021.2351798056
2022-07-28,206394.8027086326
2022-07-29,206532.8402539147
2022-08-01,205469.02515901293
2022-08-02,204089.1773384373
2022-08-03,202869.10801181113
2022-08-04,206921.76036130535
2022-08-05,205382.14726912344
2022-08-08,206036.02104604023
2022-08-09,204815.9791798881
2022-08-10,205353.50579433527
2022-08-11,206490.21362864232
2022-08-12,206907.91737666575
2022-08-15,206523.2952509094
2022-08-16,206461.67144111078
2022-08-17,204043.31548252486
2022-08-18,203821.91549272754
2022-08-19,203680.41784037306
2022-08-22,202696.6950024665
2022-08-23,201876.1489183845
2022-08-24,201734.66022808646
2022-08-25,202751.57735520502
2022-08-26,202969.59900061763
2022-08-29,203503.8520274857
2022-08-30,202164.04267238686
2022-08-31,202422.02662170175
2022-09-01,200283.33272933643
2022-09-02,200581.26902630314
2022-09-05,200716.14240864007
2022-09-06,197698.67493183687
2022-09-07,198036.57355379564
2022-09-08,200731.21858372958
2022-09-09,202626.96814039518
2022-09-12,203201.3064693894
2022-09-13,202500.65966599534
2022-09-14,202558.96929174714
2022-09-15,198822.52437368315
2022-09-19,201332.64120455217
2022-09-20,201151.2966102973
2022-09-21,204045.71344755258
2022-09-22,203824.4298212593
2022-09-23,203563.21144775825
2022-09-26,197027.5147809254
2022-09-27,197325.53434419358
2022-09-28,197783.34005401272
2022-09-29,201995.9536573562
2022-09-30,198818.7909795898
2022-10-03,198303.61536397185
2022-10-04,198157.4652294119
2022-10-05,198093.3561532398
2022-10-06,197865.16689528458
2022-10-07,197103.69212208915
2022-10-10,194573.14850145575
2022-10-11,195657.67429744583
2022-10-12,196290.960210936
2022-10-13,196678.1203169877
2022-10-14,194398.8633075511
2022-10-17,196052.62130689746
2022-10-18,196767.97240301466
2022-10-19,197483.32676030303
2022-10-20,199265.25409369596
2022-10-21,199488.3568449755
2022-10-24,197819.41356019612
