Date,nav,benchmark,position,mu_est,vol_est,prob_bull,qqq_mxn,usd_mxn
2010-02-11,200000.0,200000.0,0,0.0004457110834824774,0.017255105832566155,0.6800085803570743,0.0,12.934000015258789
2010-02-12,199827.4807533374,200407.4807533374,1,0.0004799558451641727,0.009772024184997792,0.6790000000000002,0.0020374037666870404,12.933699607849121
2010-02-16,205491.25000220817,201507.89968052474,2,0.000626615682971423,0.012869579822004713,0.7373105747965799,0.005490907440435011,12.840399742126465
2010-02-17,209479.5557170101,203130.44469747183,2,0.0007232144654214779,0.010425703155486693,0.7623739157103956,0.008052016916058946,12.871190071105957
2010-02-18,213736.29871640616,204679.85786372123,2,0.0008303529992936532,0.009066322703938168,0.7914543431602586,0.007627675745784934,12.888400077819824
2010-02-19,211903.1232339243,203185.5297699529,2,0.0008398761193959469,0.0077547804350419965,0.8080000000000003,-0.0073008067787661,12.800000190734863
2010-02-22,210504.23600525706,202863.08648301684,2,0.0008036689967462311,0.006964719166898706,0.7925189856554324,-0.001586940208296972,12.805399894714355
2010-02-23,204126.08482395607,202054.79939121517,2,0.00047171724242282896,0.00882422148158609,0.6715200005958393,-0.003984397091726932,12.921899795532227
2010-02-24,208352.2724820819,202224.43900352038,2,0.0006440539406388281,0.00903787777496871,0.7259137788109449,0.0008395722982890153,12.802289962768555
2010-02-25,208082.41635607736,202032.33635300645,2,0.000619881167488439,0.008405886066292147,0.7205266155619847,-0.0009499477484548047,12.793000221252441
2010-02-26,210273.10616521977,202367.228869354,2,0.0006786824657768369,0.00795684632282714,0.743563914344902,0.001657618391158966,12.768400192260742
2010-03-01,218621.05934323496,204677.32106122668,2,0.0008873957905079096,0.008860586144015354,0.7974364434435676,0.011415347261408915,12.729299545288086
2010-03-02,219923.3863800545,205297.02839223223,2,0.0009579973418864851,0.008371548537306844,0.8157176900455947,0.0030277283667405896,12.728599548339844
2010-03-03,220632.38842099934,205046.058742737,2,0.0009811882323347671,0.007918096246120498,0.8181451555141315,-0.001222470931316888,12.69909954071045
2010-03-04,223215.49495573094,205856.7395340449,2,0.0010786247876958376,0.0075236044144217865,0.8339721237783714,0.003953652151515108,12.707500457763672
2010-03-05,231552.28513170843,207590.04520363227,2,0.0013026171304434003,0.008311896791151784,0.8680018398694471,0.008419960762570566,12.624099731445312
2010-03-08,233555.96200750052,208679.3533285491,2,0.001361371929115253,0.007894710363258329,0.8690000000000003,0.005247400586325224,12.665800094604492
2010-03-09,236898.46349975036,209146.26174155634,2,0.001522567810889159,0.007598518868767048,0.8853456106678466,0.0022374442203303424,12.623600006103516
2010-03-10,241987.88108004487,210230.12808596733,2,0.0017349730660109488,0.007440951395294139,0.908349262780334,0.005182336683360544,12.586799621582031
2010-03-11,243845.95057411309,210712.11040546827,2,0.0018645167100751685,0.007105921541677369,0.9274323818860848,0.002292641515700522,12.567700386047363
2010-03-12,243435.68748074665,209923.16791920262,2,0.0018562823242898325,0.006826680874430354,0.9315991703820223,-0.0037441724860877157,12.517999649047852
2010-03-15,242153.8176759727,209700.76104084894,2,0.0017215556753466124,0.006687403676797485,0.9216525905090075,-0.0010594679975450827,12.536499977111816
2010-03-16,246327.15326288872,210685.6751840769,2,0.0019192526038905083,0.006521824024129828,0.9361022136382484,0.0046967599847485,12.515899658203125
2010-03-17,246772.86737000334,210186.61361443874,2,0.0019889136801067467,0.006226421173347919,0.9370000000000004,-0.0023687494140365306,12.452199935913086
2010-03-18,250510.86396842686,211937.06230582186,2,0.002091317257908792,0.005984929212628121,0.9501309313706734,0.008328069334587074,12.513899803161621
2010-03-19,247011.5808302407,211452.976772306,2,0.0017302975259410017,0.006207517528599745,0.9114525933449336,-0.002284100422309976,12.561300277709961
2010-03-22,252803.35179787068,212627.00507947968,2,0.0020076249199596063,0.00626977998577498,0.9448286993852907,0.005552195694260131,12.5177001953125
2010-03-23,257432.87824453632,213545.7025685791,2,0.002214424002989534,0.006154111082992714,0.9600496609429647,0.0043206999447507055,12.485799789428711
2010-03-24,255704.1002835113,214146.47225847622,2,0.0019186217319922029,0.0062601682950954194,0.9385969306153477,0.0028133073279907883,12.580900192260742
2010-03-25,253397.99816312685,213241.06219508706,2,0.0017919018585066697,0.006120651067412935,0.9291373044819045,-0.004227994296802318,12.545999526977539
2010-03-26,253708.43913333613,212617.8791177302,2,0.0017786442648152635,0.0059190749415879325,0.9329584047190137,-0.0029224346893692577,12.496299743652344
2010-03-29,255638.54164101114,212349.29299997195,2,0.0019163496784431943,0.0057543026782136165,0.9468974374588441,-0.0012632339240365997,12.420999526977539
2010-03-30,256942.2307380379,211918.23581293083,2,0.002004710681288948,0.005567637186921302,0.9528005962124725,-0.0020299440650418665,12.3548002243042
2010-03-31,253489.2489712914,210919.63359658723,2,0.001709685422371269,0.005678301241954117,0.9240741565431085,-0.0047122052168512285,12.355299949645996
2010-04-01,251982.64483692552,210081.6024559684,2,0.0016263355556192828,0.005498175431056672,0.9204797786330859,-0.003973224902437011,12.306209564208984
2010-04-05,257788.9713099994,210834.7630155569,2,0.0019501776353171255,0.00569433078294399,0.9557967361736253,0.003585085751363515,12.236000061035156
2010-04-06,259266.44396413787,211046.28074326148,2,0.0020068981271478908,0.005498064027349604,0.9617301599072234,0.0010032393362424674,12.21310043334961
2010-04-07,259475.95449102615,211893.75370474686,2,0.00180876174884202,0.005449217114168201,0.9508683477995308,0.004015578755999671,12.292400360107422
2010-04-08,258694.09996324556,210977.05730882767,2,0.0018238102231973895,0.005234395772179367,0.9551674208606122,-0.004326207733317711,12.211600303649902
2010-04-09,262544.83887537586,211578.85967376595,2,0.001994128031883416,0.005161281207639149,0.9750000000000003,0.0028524540659289332,12.173999786376953
2010-04-12,263128.09448060044,211372.30685421423,2,0.001944116698667162,0.0049912798038884085,0.9695915702585398,-0.0009762450741543915,12.152199745178223
