Date,nav,benchmark,position,hurst_raw,hurst_smoothed,qqq_mxn,usd_mxn
2010-02-11,200000.0,200000.0,0,0.5,0.5,0.0,12.934000015258789
2010-02-12,200051.8253968254,200407.5414937499,0,0.5,0.5,0.002037707468749428,12.933699607849121
2010-02-16,200103.6642230096,201508.06180125877,0,0.5,0.5,0.005491411647017275,12.840399742126465
2010-02-17,200155.5164820325,203130.62806302938,0,0.5,0.5,0.008052115867061005,12.871190071105957
2010-02-18,200207.38217737485,204680.04237564767,0,0.5,0.5,0.007627674503805082,12.888400077819824
2010-02-19,200259.26131251844,203185.5334779359,0,0.5,0.5,-0.007301683546502735,12.800000190734863
2010-02-22,200311.15389094586,202863.16970484622,0,0.5,0.5,-0.0015865488431767716,12.805399894714355
2010-02-23,200363.05991614063,202054.9016300248,0,0.5,0.5,-0.003984301714290539,12.921899795532227
2010-02-24,200414.97939158714,202224.62151542076,0,0.5,0.5,0.0008399691570299961,12.802289962768555
2010-02-25,200466.91232077076,202032.51870047816,0,0.5,0.5,-0.000949947704206533,12.793000221252441
2010-02-26,200518.8587071777,202367.4511611463,0,0.5,0.5,0.0016578146073835676,12.768400192260742
2010-03-01,200570.81855429505,204677.52490710153,0,0.5,0.5,0.011415243571535116,12.729299545288086
2010-03-02,200622.79186561093,205297.23267189242,0,0.5,0.5,0.0030277274706744794,12.728599548339844
2010-03-03,200674.7786446142,205046.20335424267,0,0.5,0.5,-0.0012227603576661084,12.69909954071045
2010-03-04,200726.77889479476,205856.7659322113,0,0.5,0.5,0.00395307284265245,12.707500457763672
2010-03-05,200778.7926196433,207590.1326065772,0,0.5,0.5,0.00842025602858576,12.624099731445312
2010-03-08,200830.81982265148,208679.48076993777,0,0.5,0.5,0.005247591249556649,12.665800094604492
2010-03-09,200882.86050731188,209146.35024437966,0,0.5,0.5,0.002237256258829756,12.623600006103516
2010-03-10,200934.91467711795,210230.1979157311,0,0.5,0.5,0.005182245208128267,12.586799621582031
2010-03-11,200986.98233556404,210712.27859274737,0,0.5,0.5,0.0022931086104456266,12.567700386047363
2010-03-12,201039.06348614543,209923.3549749217,0,0.5,0.5,-0.003744079951555457,12.517999649047852
2010-03-15,201091.1581323583,209700.83081072464,0,0.5,0.5,-0.001060025761419614,12.536499977111816
2010-03-16,201143.26627769976,210685.8432720098,0,0.5,0.5,0.004697227271236892,12.515899658203125
2010-03-17,201195.38792566775,210186.70365207698,0,0.5,0.5,-0.0023691179824000264,12.452199935913086
2010-03-18,201247.5230797612,211937.19228140524,0,0.5,0.5,0.00832825577885199,12.513899803161621
2010-03-19,201299.67174347988,211453.1259023772,0,0.5,0.5,-0.002284008643396951,12.561300277709961
2010-03-22,201351.8339203245,212627.19404118333,0,0.5,0.5,0.005552380149481229,12.5177001953125
2010-03-23,201404.00961379672,213545.87262669115,0,0.5,0.5,0.004320607200083204,12.485799789428711
2010-03-24,201456.19882739903,214146.64288844986,0,0.5,0.5,0.0028133077655354555,12.580900192260742
2010-03-25,201508.40156463487,213241.32986166072,0,0.5,0.5,-0.00422753779642826,12.545999526977539
2010-03-26,201560.61782900858,212618.04853784043,0,0.5,0.5,-0.002922891750040346,12.496299743652344
2010-03-29,201612.8476240254,212349.42341101952,0,0.5,0.5,-0.001263416387593752,12.420999526977539
2010-03-30,201665.09095319145,211918.44301521708,0,0.5,0.5,-0.0020295811916015705,12.3548002243042
2010-03-31,201717.34782001385,210919.74385289734,0,0.5,0.5,-0.004712658077843823,12.355299949645996
2010-04-01,201769.61822800056,210081.71227420538,0,0.5,0.5,-0.003973224902437011,12.306209564208984
2010-04-05,201821.90218066043,210834.93077256932,0,0.5,0.5,0.003585359668912158,12.236000061035156
2010-04-06,201874.1996815033,211046.42958650476,0,0.5,0.5,0.0010031488290884738,12.21310043334961
2010-04-07,201926.51073403982,211893.92229649497,0,0.5,0.5,0.004015669498179442,12.292400360107422
2010-04-08,201978.8353417816,210977.22512818166,0,0.5,0.5,-0.004326207936396709,12.211600303649902
2010-04-09,202031.17350824122,211578.9899262655,0,0.5,0.5,0.0028522737357941086,12.173999786376953
2010-04-12,202083.52523693204,211372.4559273918,0,0.5,0.5,-0.0009761555197218552,12.152199745178223
2010-04-13,202135.89053136844,212958.1316116205,0,0.5,0.5,0.007501808489055906,12.181300163269043
2010-04-14,202188.26939506567,215549.82797711046,0,0.5,0.5,0.01216998076512299,12.183799743652344
2010-04-15,202240.66183153988,216188.95026871486,0,0.5,0.5,0.0029650791077053817,12.166299819946289
2010-04-16,202293.06784430813,215329.04566422023,0,0.5,0.5,-0.003977560386068779,12.264699935913086
2010-04-19,202345.48743688842,214695.24912015867,0,0.5,0.5,-0.00294338621204826,12.23600959777832
2010-04-20,202397.92061279964,215285.66697228036,0,0.5,0.5,0.0027500275601872737,12.208000183105469
2010-04-21,202450.36737556162,215864.13318919737,0,0.5,0.5,0.002686970410303635,12.172300338745117
2010-04-22,202502.82772869506,217560.9245792914,0,0.5,0.5,0.007860460026524407,12.199700355529785
2010-04-23,202555.3016757216,217937.26098506316,0,0.5,0.5,0.0017297977865258218,12.170000076293945
2010-04-26,202607.78922016377,216855.16347704502,0,0.5,0.5,-0.0049651789837457105,12.13599967956543
2010-04-27,202660.29036554502,216339.48178308888,0,0.5,0.5,-0.0023780005312658004,12.36970043182373
2010-04-28,202712.80511538975,215804.15385226076,0,0.5,0.5,-0.00247448097044467,12.331600189208984
2010-04-29,202765.33347322323,217063.60745520002,0,0.5,0.5,0.005836095276467557,12.191200256347656
2010-04-30,202817.87544257165,214715.84458958026,0,0.5,0.5,-0.010816013302019423,12.301799774169922
2010-05-03,202870.43102696212,216878.67363367914,0,0.5,0.5,0.010072982961425225,12.253999710083008
2010-05-04,202923.00022992268,215255.80944878244,0,0.5,0.5,-0.007482820499159826,12.538999557495117
2010-05-05,202975.58305498227,217358.7727853341,0,0.5,0.5,0.009769600838819725,12.72719955444336
2010-05-06,203028.17950567073,214142.98736453266,0,0.5,0.5,-0.01479482691033307,12.972399711608887
2010-05-07,203080.78958551883,206404.22837483877,0,0.5,0.5,-0.036138278843193206,12.822999954223633
2010-05-10,203133.41329805827,210766.14150387686,0,0.5,0.5,0.021132867109275866,12.447099685668945
2010-05-11,203186.05064682162,211682.03821614018,0,0.5,0.5,0.004345559043440916,12.514289855957031
2010-05-12,203238.7016353424,213194.5886736183,0,0.5,0.5,0.007145388764320693,12.370400428771973
2010-05-13,203291.36626715507,210696.76431796513,0,0.5,0.5,-0.011716171461917835,12.422200202941895
2010-05-14,203344.04454579492,209284.06889382753,0,0.5,0.5,-0.006704874793452942,12.58080005645752
2010-05-17,203396.73647479826,209966.35437576176,0,0.5,0.5,0.0032600927798300816,12.581600189208984
2010-05-18,203449.44205770225,210240.61596147253,0,0.5,0.5,0.0013062168294828425,12.774399757385254
2010-05-19,203502.161298045,209072.97625297384,0,0.5,0.5,-0.005553825568664905,12.805500030517578
