Date,strategy
2010-02-11,200000.0
2010-02-12,200051.8253968254
2010-02-16,200103.6642230096
2010-02-17,200155.5164820325
2010-02-18,200207.38217737485
2010-02-19,200259.26131251844
2010-02-22,200311.15389094586
2010-02-23,200363.05991614063
2010-02-24,200414.97939158714
2010-02-25,200466.91232077076
2010-02-26,200518.8587071777
2010-03-01,200570.81855429505
2010-03-02,200622.79186561093
2010-03-03,200674.7786446142
2010-03-04,200726.77889479476
2010-03-05,200778.7926196433
2010-03-08,200830.81982265148
2010-03-09,200882.86050731188
2010-03-10,200934.91467711795
2010-03-11,200986.98233556404
2010-03-12,201039.06348614543
2010-03-15,201091.1581323583
2010-03-16,201143.26627769976
2010-03-17,201195.38792566775
2010-03-18,201247.5230797612
2010-03-19,201299.67174347988
2010-03-22,201351.8339203245
2010-03-23,201404.00961379672
2010-03-24,201456.19882739903
2010-03-25,201508.40156463487
2010-03-26,201560.61782900858
2010-03-29,201612.8476240254
2010-03-30,201665.09095319145
2010-03-31,201717.34782001385
2010-04-01,201769.61822800056
2010-04-05,201821.90218066043
2010-04-06,201874.1996815033
2010-04-07,201926.51073403982
2010-04-08,201978.8353417816
2010-04-09,202031.17350824122
2010-04-12,202083.52523693204
2010-04-13,202135.89053136844
2010-04-14,202188.26939506567
2010-04-15,202240.66183153988
2010-04-16,202293.06784430813
2010-04-19,202345.48743688842
2010-04-20,202397.92061279964
2010-04-21,202450.36737556162
2010-04-22,202502.82772869506
2010-04-23,202555.3016757216
2010-04-26,202607.78922016377
2010-04-27,202660.29036554502
2010-04-28,202712.80511538975
2010-04-29,202765.33347322323
2010-04-30,202817.87544257165
2010-05-03,202870.43102696212
2010-05-04,202923.00022992268
2010-05-05,202975.58305498227
2010-05-06,203028.17950567073
2010-05-07,203080.78958551883
2010-05-10,203133.41329805827
2010-05-11,203186.05064682162
2010-05-12,203238.7016353424
2010-05-13,203291.36626715507
2010-05-14,203344.04454579492
2010-05-17,203396.73647479826
2010-05-18,203449.44205770225
2010-05-19,203502.161298045
2010-05-20,203554.8941993655
2010-05-21,203607.64076520366
2010-05-24,203660.40099910035
2010-05-25,203713.17490459734
2010-05-26,203765.9624852373
2010-05-27,203818.76374456385
2010-05-28,203871.57868612147
2010-06-01,203924.40731345562
2010-06-02,203977.24963011264
2010-06-03,204030.1056396398
2010-06-04,204082.97534558532
2010-06-07,204135.85875149828
2010-06-08,204188.75586092874
2010-06-09,204241.66667742762
2010-06-10,204294.59120454683
2010-06-11,204347.5294458391
2010-06-14,204400.4814048582
2010-06-15,204453.44708515875
2010-06-16,204506.4264902963
2010-06-17,204559.4196238273
2010-06-18,204612.4264893092
2010-06-21,204665.4470903003
2010-06-22,204718.4814303598
2010-06-23,204771.5295130479
2010-06-24,204824.59134192567
2010-06-25,204877.66692055514
2010-06-28,204930.75625249924
2010-06-29,204983.8593413218
2010-06-30,205036.97619058762
2010-07-01,205090.1068038624
2010-07-02,205143.25118471278
2010-07-06,205196.40933670627
2010-07-07,205249.58126341138
2010-07-08,205302.7669683975
2010-07-09,205355.96645523497
2010-07-12,205409.179727495
2010-07-13,205462.4067887498
2010-07-14,205515.64764257244
2010-07-15,205568.90229253698
2010-07-16,205622.17074221835
2010-07-19,205675.45299519243
2010-07-20,205728.74905503602
2010-07-21,205782.05892532688
2010-07-22,205835.38260964365
2010-07-23,205888.72011156593
2010-07-26,205942.0714346742
2010-07-27,205995.43658254994
2010-07-28,206048.8155587755
2010-07-29,206102.20836693418
2010-07-30,206155.61501061023
2010-08-02,206209.03549338877
2010-08-03,206262.4698188559
2010-08-04,206315.91799059865
2010-08-05,206369.38001220496
2010-08-06,206422.8558872637
2010-08-09,206476.34561936464
2010-08-10,206529.84921209855
2010-08-11,206583.36666905708
2010-08-12,206636.89799383283
2010-08-13,206690.44319001932
2010-08-16,206744.00226121102
2010-08-17,206797.5752110033
2010-08-18,206851.1620429925
2010-08-19,206904.76276077586
2010-08-20,206958.3773679516
2010-08-23,207012.00586811875
2010-08-24,207065.64826487744
2010-08-25,207119.3045618286
2010-08-26,207172.9747625742
2010-08-27,207226.65887071704
2010-08-30,207280.35688986094
2010-08-31,207334.06882361058
2010-09-01,207387.7946755716
2010-09-02,207441.53444935064
2010-09-03,207495.28814855518
2010-09-07,207549.05577679368
2010-09-08,207602.83733767553
2010-09-09,207656.63283481105
2010-09-10,207710.4422718115
2010-09-13,207764.2656522891
2010-09-14,207818.10297985692
2010-09-15,207871.9542581291
2010-09-16,207925.81949072058
2010-09-17,207979.69868124733
2010-09-20,208033.59183332624
2010-09-21,208087.49895057513
2010-09-22,208141.42003661272
2010-09-23,208195.3550950587
2010-09-24,207645.53759975807
2010-09-27,205595.6168510462
2010-09-28,204718.5017513788
2010-09-29,203866.48576571036
2010-09-30,202052.6460509645
2010-10-01,200448.7655036678
2010-10-04,194760.6789023853
2010-10-05,206854.4139280001
2010-10-06,201550.50522208412
2010-10-07,204946.84391706245
2010-10-08,206610.753181507
2010-10-11,207780.53761311562
2010-10-12,211327.70854844086
2010-10-13,215939.49547526715
2010-10-14,215174.6780645728
2010-10-15,229435.7188117585
2010-10-18,228918.93237095667
2010-10-19,221978.0542998123
2010-10-20,224096.40394560108
2010-10-21,225422.90890196225
2010-10-22,229279.60644827827
2010-10-25,232225.88580926365
2010-10-26,232286.06180268963
2010-10-27,232346.25338933928
2010-10-28,232406.46057325328
2010-10-29,232466.68335847327
2010-11-01,232526.92174904197
2010-11-02,232587.17574900313
2010-11-03,232647.44536240157
2010-11-04,232707.7305932832
2010-11-05,232768.03144569488
2010-11-08,232828.34792368457
2010-11-09,232888.6800313013
2010-11-10,232949.02777259515
2010-11-11,233009.39115161716
2010-11-12,233069.77017241955
2010-11-15,233130.1648390555
2010-11-16,233190.57515557928
2010-11-17,233251.00112604618
2010-11-18,233311.44275451257
2010-11-19,233371.90004503587
2010-11-22,233432.37300167454
2010-11-23,233492.86162848808
2010-11-24,233553.36592953705
2010-11-26,233613.88590888306
2010-11-29,233674.42157058883
2010-11-30,233734.97291871803
2010-12-01,233795.53995733548
2010-12-02,233856.12269050698
2010-12-03,233916.7211222994
2010-12-06,233977.3352567807
2010-12-07,234037.96509801986
2010-12-08,234098.61065008692
2010-12-09,234159.271917053
2010-12-10,234219.94890299023
2010-12-13,234280.64161197183
2010-12-14,234341.35004807208
2010-12-15,234402.0742153663
2010-12-16,234462.81411793083
2010-12-17,234523.56975984314
2010-12-20,234584.3411451817
2010-12-21,234645.12827802607
2010-12-22,234705.93116245684
2010-12-23,234766.74980255569
2010-12-27,234827.58420240533
2010-12-28,234888.43436608952
2010-12-29,234949.30029769312
2010-12-30,235010.18200130202
2010-12-31,235071.07948100317
2011-01-03,235131.99274088457
2011-01-04,235192.9217850353
2011-01-05,235253.86661754546
2011-01-06,235314.8272425063
2011-01-07,235375.80366401002
2011-01-10,235436.79588614995
2011-01-11,235497.80391302044
2011-01-12,235558.82774871695
2011-01-13,235619.86739733597
2011-01-14,235680.92286297504
2011-01-18,235741.99414973278
2011-01-19,235803.0812617089
2011-01-20,235864.1842030041
2011-01-21,235925.3029777202
2011-01-24,235986.43758996006
2011-01-25,236047.58804382762
2011-01-26,236108.75434342786
2011-01-27,236169.93649286687
2011-01-28,236231.13449625173
2011-01-31,236292.34835769064
2011-02-01,236353.57808129286
2011-02-02,236414.82367116868
2011-02-03,236476.0851314295
2011-02-04,236537.36246618777
2011-02-07,236598.65567955698
2011-02-08,236659.96477565172
2011-02-09,236721.28975858763
2011-02-10,236782.63063248142
2011-02-11,236843.98740145087
2011-02-14,236905.3600696148
2011-02-15,236966.74864109317
2011-02-16,237028.15312000693
2011-02-17,237089.5735104781
2011-02-18,237151.00981662984
2011-02-22,237212.4620425863
2011-02-23,237273.93019247273
2011-02-24,237335.41427041547
2011-02-25,237396.91428054188
2011-02-28,237458.43022698045
2011-03-01,237519.9621138607
2011-03-02,237581.5099453132
2011-03-03,237643.07372546967
2011-03-04,237704.65345846282
2011-03-07,237766.24914842646
2011-03-08,237827.86079949548
2011-03-09,237889.48841580583
2011-03-10,237951.13200149452
2011-03-11,238012.79156069967
2011-03-14,238074.46709756044
2011-03-15,238136.1586162171
2011-03-16,238197.86612081088
2011-03-17,238259.58961548426
2011-03-18,238321.32910438065
2011-03-21,238383.0845916446
2011-03-22,238444.85608142175
2011-03-23,238506.64357785872
2011-03-24,238568.4470851033
2011-03-25,238630.26660730434
2011-03-28,238692.1021486117
2011-03-29,238753.95371317642
2011-03-30,238815.82130515052
2011-03-31,238877.70492868713
