Date,NAV,Cash,Regime
2022-02-27,200000.0,200075.3968253968,0
2022-02-28,200150.82207420003,200150.82207420003,2
2022-03-01,202252.31737443557,202227.0297253788,0
2022-03-02,202303.26610563239,202303.26610563239,2
2022-03-03,202238.77590119775,202379.53122579123,0
2022-03-04,202455.82509668983,202455.82509668983,2
2022-03-05,202455.82509668983,202532.14772916675,0
2022-03-06,202608.49913406465,202608.49913406465,2
2022-03-07,204152.36064206075,202684.87932223026,1
2022-03-08,202761.28830451443,202761.28830451443,2
2022-03-09,199787.3690208262,202837.72609177206,1
2022-03-10,200136.81829920076,202914.1926948622,1
2022-03-11,199448.53316979026,202990.68812464795,0
2022-03-12,203067.21239199652,203067.21239199652,2
2022-03-13,203067.21239199652,203143.7655077792,0
2022-03-14,203220.3474828714,203220.3474828714,2
2022-03-15,205157.57903854275,203296.95832815263,0
2022-03-16,205838.4752485958,203373.5980545065,1
2022-03-17,206380.40974005705,203450.26667282067,1
2022-03-18,207146.87993739787,203526.964193987,0
2022-03-19,203603.6906289014,203603.6906289014,2
2022-03-20,203603.6906289014,203680.44598846385,0
2022-03-21,203757.23028357854,203757.23028357854,2
2022-03-22,204386.23047425514,203834.04352515368,0
2022-03-23,203910.88572410165,203910.88572410165,2
2022-03-24,205294.34289662947,203987.7568913389,0
2022-03-25,204064.65703778603,204064.65703778603,2
2022-03-26,204064.65703778603,204141.58617436772,0
2022-03-27,204218.54431201282,204218.54431201282,2
2022-03-28,204852.9687050398,204295.53146165423,0
2022-03-29,204372.54763422903,204372.54763422903,2
2022-03-30,204240.68145413912,204449.59284067844,0
2022-03-31,204526.66709194772,204526.66709194772,2
2022-04-01,207064.55642071986,206604.52436724032,0
2022-04-02,206682.41099348984,206682.41099348984,2
2022-04-03,206682.41099348984,206760.32698176117,0
2022-04-04,206838.27234312333,206838.27234312333,2
2022-04-05,205934.8237735645,206916.24708864948,0
2022-04-06,206994.25122941702,206994.25122941702,2
2022-04-07,208175.5712960176,207072.28477650747,0
2022-04-08,207150.34774100652,207150.34774100652,2
2022-04-09,207150.34774100652,207228.4401340041,0
2022-04-10,207306.56196659428,207306.56196659428,2
2022-04-11,206271.80082822414,207384.71324987532,0
2022-04-12,207462.89399494967,207462.89399494967,2
2022-04-13,208278.86188998452,207541.10421292394,0
2022-04-14,207619.34391490894,207619.34391490894,2
2022-04-15,207619.34391490894,207697.6131120197,0
2022-04-16,207775.9118153754,207775.9118153754,2
2022-04-17,207775.9118153754,207854.24003609945,0
2022-04-18,207932.5977853194,207932.5977853194,2
2022-04-19,209035.00897862314,208010.98507416702,0
2022-04-20,208089.4019137783,208089.4019137783,2
2022-04-21,207293.68728666668,208167.8483152934,0
2022-04-22,206325.0962230751,208246.32428985668,1
2022-04-23,206363.98686621236,208324.82984861673,1
2022-04-24,206363.98686621236,208403.36500272632,0
2022-04-25,208481.92976334243,208481.92976334243,2
2022-04-26,208680.19620071005,208560.5241416262,1
2022-04-27,208639.14814874306,208639.14814874306,2
2022-04-28,209241.6257815915,208717.80179586262,1
2022-04-29,209269.24642543882,208796.48509415865,1
2022-04-30,209308.69201752296,208875.1980548092,1
2022-05-01,211308.69201752296,210954.69465725048,0
2022-05-02,211034.22122864902,211034.22122864902,2
2022-05-03,211214.96530268583,211113.77778030265,0
2022-05-04,212292.11183176513,211193.36432351347,1
2022-05-05,211927.58988422027,211272.9808695878,1
2022-05-06,212142.9992849168,211352.62742983626,1
2022-05-07,212142.9992849168,211432.30401557367,0
2022-05-08,211512.01063811922,211512.01063811922,2
2022-05-09,210020.5852425119,211591.74730879627,1
2022-05-10,211671.5140389325,211671.5140389325,2
2022-05-11,210348.91012583522,211751.31083985989,0
2022-05-12,211831.13772291457,211831.13772291457,2
2022-05-13,211831.13772291457,211910.99469943708,0
2022-05-14,211990.88178077218,211990.88178077218,2
2022-05-15,211990.88178077218,212070.7989782689,0
2022-05-16,212150.74630328052,212150.74630328052,2
2022-05-17,212150.74630328052,212230.7237671647,0
2022-05-18,212247.11249356315,212310.73138128326,1
2022-05-19,213846.84221389983,212390.7691570024,1
2022-05-20,213846.84221389983,212470.8371056925,0
2022-05-21,212550.93523872836,212550.93523872836,2
2022-05-22,212550.93523872836,212631.06356748898,0
2022-05-23,212711.22210335766,212711.22210335766,2
