,NAV
2021-04-07,99980.00399920018
2021-04-08,101032.60830222363
2021-04-09,101534.18631591527
2021-04-12,101662.84503556832
2021-04-13,103304.88968403479
2021-04-14,101344.22189821713
2021-04-15,103299.98997028096
2021-04-16,103137.46505013229
2021-04-19,102365.40431272567
2021-04-20,101858.31049382384
2021-04-21,101856.04346032233
2021-04-22,100030.1860538325
2021-04-23,101608.21266065484
2021-04-26,101982.59564993966
2021-04-27,101001.45459547044
2021-04-28,99956.73249302348
2021-04-29,100345.02447283558
2021-04-30,98874.72949731933
2021-05-03,97918.66188842044
2021-05-04,96988.30333511152
2021-05-05,97115.82279196341
2021-05-06,98866.16690200433
2021-05-07,98894.52871743693
2021-05-10,96872.6670464937
2021-05-11,95615.29256701289
2021-05-12,94957.91690557243
2021-05-13,97400.48699488748
2021-05-14,98914.27314395722
2021-05-17,99312.31147035622
2021-05-18,97913.11575109583
2021-05-19,97165.29154737284
2021-05-20,96996.39231262104
2021-05-21,98100.06919152837
2021-05-24,98630.79392138895
2021-05-25,97611.57188085395
2021-05-26,97560.46894311451
2021-05-27,97893.79894158439
2021-05-28,98478.22865351192
2021-06-01,98360.95466857181
2021-06-02,98513.38561437468
2021-06-03,97128.29773059745
2021-06-04,99008.19087691937
2021-06-07,99154.30250665823
2021-06-08,98661.70581897942
2021-06-09,98585.4069960944
2021-06-10,99254.0845669415
2021-06-11,99820.60534053679
2021-06-14,101002.83363128382
2021-06-15,100169.9496996616
2021-06-16,100014.66915453723
2021-06-17,101980.75332061152
2021-06-18,101175.08042164793
2021-06-21,100828.13251062026
2021-06-22,102202.25688348166
2021-06-23,103385.629341468
2021-06-24,104048.29656133066
2021-06-25,103147.12679220145
2021-06-28,105524.72319480292
2021-06-29,105778.70880548522
2021-06-30,105728.77997461447
2021-07-01,105951.2054174502
2021-07-02,107138.23304269383
2021-07-06,107812.20280033967
2021-07-07,107847.02276462519
2021-07-08,106848.9436156862
2021-07-09,107576.29650063234
2021-07-12,107603.13711026132
2021-07-13,107940.71997213774
2021-07-14,108783.101466314
2021-07-15,108078.64043777021
2021-07-16,106932.88705283808
2021-07-19,105344.09592960458
2021-07-20,106977.97059228332
2021-07-21,106522.73306135404
2021-07-22,107172.12423961573
2021-07-23,108683.93911462059
2021-07-26,108632.61982399672
2021-07-27,108917.5175388859
2021-07-28,108373.36935246427
2021-07-29,109363.42570417128
2021-07-30,110505.16623596296
2021-08-02,110299.48394293092
2021-08-03,111880.98953819815
2021-08-04,111873.2755220628
2021-08-05,113969.06539562643
2021-08-06,113053.60267047146
2021-08-09,113269.61165820129
2021-08-10,113927.94878014835
2021-08-11,114254.51706451461
2021-08-12,114527.12030781404
2021-08-13,115159.72750670301
2021-08-16,116455.77316511192
2021-08-17,116322.06355209934
2021-08-18,114745.6840983154
2021-08-19,116815.81019258202
2021-08-20,118032.13608295559
2021-08-23,116988.11469018173
2021-08-24,116134.1686949113
2021-08-25,116394.38376556827
2021-08-26,115940.95859983834
2021-08-27,117646.05722492877
2021-08-30,118741.32902560591
2021-08-31,118201.9061732103
2021-09-01,119180.5344978515
2021-09-02,119431.52707485373
2021-09-03,120515.18759289823
2021-09-07,121696.93838439933
2021-09-08,120947.46234401001
2021-09-09,119735.07741301114
2021-09-10,118654.751150823
2021-09-13,118625.50149389451
2021-09-14,118216.21100983821
2021-09-15,119603.27908064365
2021-09-16,119620.34446042201
2021-09-17,119351.60465977088
2021-09-20,115674.95878486129
2021-09-21,115597.70448573507
2021-09-22,115597.70448573507
2021-09-23,115574.5895678215
2021-09-24,115716.6722077985
2021-09-27,115700.64691809096
2021-09-28,112486.09666403293
2021-09-29,112713.34139133319
2021-09-30,111526.27619256423
2021-10-01,112672.44220861475
2021-10-04,113067.88813636248
2021-10-05,113923.1561922156
2021-10-06,114179.41637341317
2021-10-07,113901.91974459219
2021-10-08,114017.93615248597
2021-10-11,112300.59185903188
2021-10-12,111678.52489416962
2021-10-13,110598.02203188656
2021-10-14,111799.30523978123
2021-10-15,112253.46996014453
2021-10-18,114135.2366763065
2021-10-19,114318.1870142658
2021-10-20,113961.20369529413
2021-10-21,115711.47935699367
2021-10-22,115210.37850301022
2021-10-25,119167.3191807941
2021-10-26,119967.91345890111
2021-10-27,121517.46010097481
2021-10-28,123137.58554071253
2021-10-29,124385.13127490562
2021-11-01,124707.94304255421
2021-11-02,125385.34804885898
2021-11-03,126675.09981420696
2021-11-04,129843.06533148991
2021-11-05,130430.32957585959
2021-11-08,129906.68030459141
2021-11-09,128448.08683661105
2021-11-10,126588.30810975395
2021-11-11,127622.49130527527
2021-11-12,129605.08441945078
2021-11-15,129877.56780903207
2021-11-16,130740.84676114967
2021-11-17,129971.8331799115
2021-11-18,133298.7690467609
2021-11-19,134636.7099916984
2021-11-22,132567.09428697595
2021-11-23,133481.09756354004
2021-11-24,135806.2222733288
2021-11-26,132667.2368205008
2021-11-29,134994.8658265092
2021-11-30,133348.06021260185
2021-12-01,131928.84388445198
2021-12-02,131120.11638546543
2021-12-03,129582.80431562231
2021-12-06,132369.21134140546
2021-12-07,137061.2030004281
2021-12-08,140183.90289943386
2021-12-09,139767.5170858737
2021-12-10,143682.86091166837
2021-12-13,140712.37384045345
2021-12-14,140263.91140076646
2021-12-15,144603.42910928896
2021-12-16,140309.95276295778
2021-12-17,140921.4941081436
2021-12-20,140250.9783727048
2021-12-21,141412.94204866083
2021-12-22,143373.6008625399
2021-12-23,145474.32482381412
2021-12-27,147548.76508895442
2021-12-28,146393.3768593471
2021-12-29,147183.34392887054
2021-12-30,145535.63837374258
2021-12-31,145607.79643559962
2022-01-03,145150.46374072114
2022-01-04,146754.83149230917
2022-01-05,140683.17573235335
2022-01-06,139916.50032810477
2022-01-07,138181.1856189571
2022-01-10,140264.22887846676
2022-01-11,140715.70474596924
2022-01-12,141513.83092612037
2022-01-13,141337.37144407013
2022-01-14,132623.7845230349
2022-01-18,132623.7845230349
2022-01-19,132623.7845230349
2022-01-20,132623.7845230349
2022-01-21,132623.7845230349
2022-01-24,132623.7845230349
2022-01-25,132623.7845230349
2022-01-26,132623.7845230349
2022-01-27,132623.7845230349
2022-01-28,132623.7845230349
2022-01-31,132597.2650700209
2022-02-01,131650.69953550823
2022-02-02,133654.69145651496
2022-02-03,128448.55400052574
2022-02-04,130448.3043829042
2022-02-07,128320.64594552245
2022-02-08,129859.86519269898
2022-02-09,132695.3607818631
2022-02-10,128930.38738546261
2022-02-11,125750.37549703941
2022-02-14,127878.0508415688
2022-02-15,132743.42125678487
2022-02-16,132400.38284954813
2022-02-17,129154.08751278202
2022-02-18,127933.94435808851
2022-02-22,126393.12675628334
2022-02-23,122297.56378028198
2022-02-24,122273.1091584503
2022-02-25,126939.2180664275
2022-02-28,129329.94388893772
2022-03-01,119358.10107662073
2022-03-02,124024.20998459792
2022-03-03,117371.30040537714
2022-03-04,116816.90351157828
2022-03-07,114674.07814278113
2022-03-08,114592.49251704222
2022-03-09,115531.82488451884
2022-03-10,116641.87796759416
2022-03-11,115481.43746568385
2022-03-14,115159.58958231194
2022-03-15,118743.8614270832
2022-03-16,118978.18397790496
2022-03-17,121036.34862914808
2022-03-18,122910.59218389713
2022-03-21,121636.29576510953
2022-03-22,122487.99753384067
2022-03-23,121305.67569879282
2022-03-24,122201.21031126259
2022-03-25,121675.70742864397
2022-03-28,123755.78148401005
2022-03-29,124800.20460316549
2022-03-30,126221.18595628302
2022-03-31,126085.46274176093
2022-04-01,126024.15570959623
2022-04-04,125927.81608762316
2022-04-05,125969.43132351333
2022-04-06,128042.88062631949
2022-04-07,133135.85565365638
2022-04-08,131381.99451989555
2022-04-11,128016.66232593404
2022-04-12,128407.58849845492
2022-04-13,130556.65182380378
2022-04-14,130375.98881745125
2022-04-18,130375.98881745125
2022-04-19,130375.98881745125
2022-04-20,130375.98881745125
2022-04-21,130375.98881745125
2022-04-22,130375.98881745125
2022-04-25,130375.98881745125
2022-04-26,130375.98881745125
2022-04-27,130375.98881745125
2022-04-28,130375.98881745125
2022-04-29,130375.98881745125
2022-05-02,130375.98881745125
2022-05-03,130375.98881745125
2022-05-04,130349.91883368453
2022-05-05,125238.79490757956
2022-05-06,125262.57128800385
2022-05-09,121528.50708619454
2022-05-10,121504.20624494557
2022-05-11,118496.13771105722
2022-05-12,118496.13771105722
2022-05-13,118472.44322241274
2022-05-16,117350.6109056712
2022-05-17,122482.33598864207
2022-05-18,114913.65977487728
2022-05-19,109985.50852071709
2022-05-20,109985.50852071709
2022-05-23,109985.50852071709
2022-05-24,109985.50852071709
2022-05-25,109985.50852071709
2022-05-26,109985.50852071709
2022-05-27,109985.50852071709
2022-05-31,109963.51581755359
2022-06-01,108729.54554786257
2022-06-02,109320.92397278472
2022-06-03,106777.17885617625
2022-06-06,106359.75155645613
2022-06-07,106338.4838596842
2022-06-08,104922.4697861702
2022-06-09,103205.5898239545
2022-06-10,103205.5898239545
2022-06-13,103205.5898239545
2022-06-14,103205.5898239545
2022-06-15,103205.5898239545
2022-06-16,103205.5898239545
2022-06-17,103205.5898239545
2022-06-21,103205.5898239545
2022-06-22,103205.5898239545
2022-06-23,103205.5898239545
2022-06-24,103205.5898239545
2022-06-27,103205.5898239545
2022-06-28,103205.5898239545
2022-06-29,103205.5898239545
2022-06-30,103205.5898239545
2022-07-01,103205.5898239545
2022-07-05,103205.5898239545
2022-07-06,103205.5898239545
2022-07-07,103205.5898239545
2022-07-08,103205.5898239545
2022-07-11,103205.5898239545
2022-07-12,103205.5898239545
2022-07-13,103205.5898239545
2022-07-14,103184.95283338783
2022-07-15,105404.10162641948
2022-07-18,104063.73769031069
2022-07-19,104855.85271803713
2022-07-20,105656.02975547452
2022-07-21,106716.21628050116
2022-07-22,106768.61289401446
2022-07-25,106651.70730359814
2022-07-26,103162.29107101714
2022-07-27,103141.66273846944
2022-07-28,106063.35387331674
2022-07-29,107076.13535430947
2022-08-01,108166.10858071834
2022-08-02,107503.44499674732
2022-08-03,108205.69020263113
2022-08-04,107467.81900946374
