Date,NAV,Capital
2020-11-10,99710.83856815237,100000.0
2020-11-11,101768.22547534926,100000.0
2020-11-12,101322.74825360521,100000.0
2020-11-13,101682.23451205972,100000.0
2020-11-16,103176.59179733721,100000.0
2020-11-17,102644.80201060227,100000.0
2020-11-18,102306.15209114301,100000.0
2020-11-19,102723.356669629,100000.0
2020-11-20,101579.84356610892,100000.0
2020-11-23,102370.52624344197,100000.0
2020-11-24,104059.80215518182,100000.0
2020-11-25,104291.44397134315,100000.0
2020-11-27,104616.37458369345,100000.0
2020-11-30,104751.49060426877,100000.0
2020-12-01,107232.75817420169,101000.0
2020-12-02,107671.84121269248,101000.0
2020-12-03,106146.97843099388,101000.0
2020-12-04,107066.8315907723,101000.0
2020-12-07,107997.24097176782,101000.0
2020-12-08,107838.12356258482,101000.0
2020-12-09,106031.91482473469,101000.0
2020-12-10,105473.57327533193,101000.0
2020-12-11,105049.09744577955,101000.0
2020-12-14,105632.5393502742,101000.0
2020-12-15,106374.31015117426,101000.0
2020-12-16,106504.92439886148,101000.0
2020-12-17,106513.77699320896,101000.0
2020-12-18,106936.99536663321,101000.0
2020-12-21,107116.00154059869,101000.0
2020-12-22,106364.4045704739,101000.0
2020-12-23,106171.26507481089,101000.0
2020-12-24,106488.4993781658,101000.0
2020-12-28,107565.69099634097,101000.0
2020-12-29,107492.78214379161,101000.0
2020-12-30,107939.08470900911,101000.0
2020-12-31,108489.19798500669,101000.0
2021-01-04,108539.95870435737,102000.0
2021-01-05,109178.260389505,102000.0
2021-01-06,107962.08919910189,102000.0
2021-01-07,111173.64380798322,102000.0
2021-01-08,111253.83593748543,102000.0
2021-01-11,111049.31375333213,102000.0
2021-01-12,111024.33288735681,102000.0
2021-01-13,111421.31908677814,102000.0
2021-01-14,110401.7165558714,102000.0
2021-01-15,109464.23619590541,102000.0
2021-01-19,110651.43048002772,102000.0
2021-01-20,111814.82649917336,102000.0
2021-01-21,113155.17480703534,102000.0
2021-01-22,112713.52075228628,102000.0
2021-01-25,112539.79485870864,102000.0
2021-01-26,112517.94633002298,102000.0
2021-01-27,108742.73143627304,102000.0
2021-01-28,109276.61733476575,102000.0
2021-01-29,108107.14930944877,102000.0
2021-02-01,110746.88759099135,103000.0
2021-02-02,113215.12196157807,103000.0
2021-02-03,112701.57376558032,103000.0
2021-02-04,113853.05912296513,103000.0
2021-02-05,113493.96620919024,103000.0
2021-02-08,115759.4401232475,103000.0
